segment_start,segment_end,segment_idx,current_state_binary,i3_photoresistor_psd_peak,i3_photoresistor_psd_mean_energy,i3_photoresistor_psd_peak_freq,i3_photoresistor_rms,i3_photoresistor_mean,i3_photoresistor_variance,i3_photoresistor_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0,1,0.0001678186114734055,3.2607413990176336e-05,0.09375,0.07807093166122253,0.0325417846931822,0.005036102619433852,0.976253540795466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,1,1,0.07230213914560102,0.01257042658458712,0.03125,0.1591679919913602,0.1306534398195914,0.008264128337870113,3.919603194587742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,2,1,9.616921660181865e-06,2.9266701829475604e-06,0.125,0.1971391566378697,0.19712559255713605,5.347838888517341e-06,5.913767776714082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,3,1,1.8798534958651357e-05,4.50477936485551e-06,0.03125,0.19880297668880237,0.1987985349275017,1.766051007377726e-06,5.963956047825052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,4,1,1.280769444724005e-05,3.147962059398178e-06,0.03125,0.19804458408408093,0.19803586547689517,3.4532698536620285e-06,5.941075964306856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,5,1,8.403235595551994e-06,1.971544496274069e-06,0.03125,0.19557492489878398,0.19556669610157515,3.218625079134337e-06,5.867000883047255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,6,1,0.00011629791007883085,1.6629028074786276e-05,0.03125,0.184294369583309,0.1837321190163284,0.00020692310187903214,5.511963570489851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,7,1,0.0014831920633377083,0.00022970926049509878,0.03125,0.1617665071943095,0.16101665433865328,0.00024203987543322154,4.830499630159599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,8,1,0.001336894905781041,0.00022550667979639205,0.03125,0.13682082540961166,0.13605982467911118,0.00020766237405696127,4.081794740373336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,9,1,0.0005658525878493931,0.00017266741311651172,0.0625,0.11782566642994924,0.11757140819328354,5.985164510996255e-05,3.527142245798507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
