segment_idx,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_original_bits,i3_photoresistor_psd_peak_psk_recovered,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_original_bits,i3_photoresistor_psd_mean_energy_psk_recovered,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_original_bits,i3_photoresistor_psd_peak_freq_psk_recovered,i3_photoresistor_rms_baseband,i3_photoresistor_rms_original_bits,i3_photoresistor_rms_psk_recovered,i3_photoresistor_mean_baseband,i3_photoresistor_mean_original_bits,i3_photoresistor_mean_psk_recovered,i3_photoresistor_variance_baseband,i3_photoresistor_variance_original_bits,i3_photoresistor_variance_psk_recovered,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_original_bits,i3_photoresistor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
0,0.002205,0,0,0.002438,0,0,0.666667,1,1,0.068013,0,0,0.025048,0,0,0.60931,1,1,0.025048,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
1,1.0,1,1,1.0,1,1,0.0,0,0,0.150632,0,0,0.124655,0,0,1.0,1,1,0.124655,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
2,1.7e-05,0,0,7.6e-05,0,0,1.0,1,1,0.189316,0,0,0.19214,0,0,0.000434,0,0,0.19214,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
3,0.000144,0,0,0.000202,0,0,0.0,0,0,0.191011,0,0,0.193838,0,0,0.0,0,0,0.193838,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
4,6.1e-05,0,0,9.4e-05,0,0,0.0,0,0,0.190238,0,0,0.193064,0,0,0.000204,0,0,0.193064,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
5,0.0,0,0,0.0,0,0,0.0,0,0,0.187722,0,0,0.190557,0,0,0.000176,0,0,0.190557,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
6,0.001492,0,0,0.001166,0,0,0.0,0,0,0.17623,0,0,0.178542,0,0,0.02483,0,0,0.178542,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
7,0.0204,0,0,0.01812,0,0,0.0,0,0,0.153279,0,0,0.15548,0,0,0.029081,0,0,0.15548,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
8,0.018376,0,0,0.017785,0,0,0.0,0,0,0.127865,0,0,0.130143,0,0,0.02492,0,0,0.130143,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
9,0.007711,0,0,0.013581,0,0,0.333333,0,0,0.108514,0,0,0.111373,0,0,0.00703,0,0,0.111373,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
10,0.008524,0,0,0.007645,0,0,0.0,0,0,0.090374,0,0,0.09213,0,0,0.033532,0,0,0.09213,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
11,0.011562,0,0,0.011384,0,0,0.0,0,0,0.067228,0,0,0.069342,0,0,0.020766,0,0,0.069342,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
12,0.001803,0,0,0.002634,0,0,0.333333,0,0,0.050813,0,0,0.053513,0,0,0.008756,0,0,0.053513,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
13,0.010674,0,0,0.009208,0,0,0.0,0,0,0.034273,0,0,0.036044,0,0,0.016686,0,0,0.036044,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
14,0.001049,0,0,0.001273,0,0,0.0,0,0,0.017837,0,0,0.019897,0,0,0.00899,0,0,0.019897,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
15,0.005434,0,0,0.008437,0,0,0.0,0,0,0.006255,0,0,0.005416,0,0,0.015543,0,0,0.005416,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
16,0.000894,0,0,0.001309,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.007776,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
17,0.007465,0,0,0.007421,0,0,0.0,0,0,0.015451,0,0,0.015106,0,0,0.022005,0,0,0.015106,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
18,0.018877,0,0,0.015395,0,0,0.0,0,0,0.043913,0,0,0.043989,0,0,0.040909,0,0,0.043989,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
19,0.022889,0,0,0.018958,0,0,0.0,0,0,0.081404,0,0,0.081969,0,0,0.056523,0,0,0.081969,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
