segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_am_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_am_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_am_demodulated,m3_speed_rms_baseband,m3_speed_rms_am_demodulated,m3_speed_mean_baseband,m3_speed_mean_am_demodulated,m3_speed_variance_baseband,m3_speed_variance_am_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_am_demodulated,m4_speed_psd_peak_baseband,m4_speed_psd_peak_am_demodulated,m4_speed_psd_mean_energy_baseband,m4_speed_psd_mean_energy_am_demodulated,m4_speed_psd_peak_freq_baseband,m4_speed_psd_peak_freq_am_demodulated,m4_speed_rms_baseband,m4_speed_rms_am_demodulated,m4_speed_mean_baseband,m4_speed_mean_am_demodulated,m4_speed_variance_baseband,m4_speed_variance_am_demodulated,m4_speed_fft_peak_baseband,m4_speed_fft_peak_am_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_am_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_am_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_am_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_am_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_am_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_am_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_am_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_am_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_am_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_am_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_am_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_am_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_am_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_am_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_am_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_am_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_am_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_am_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_am_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_am_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_am_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_am_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_am_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_am_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_am_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_am_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_am_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,2023-02-06T14:08:08.000000000,2023-02-06T14:09:06.000000000,0.002341,0.900084,0.002612,0.899733,1.0,1.0,0.0,0.282098,0.0,0.228025,0.613478,1.0,0.0,0.228025,0.000433,0.599857,0.000523,0.594496,1.0,1.0,0.0,0.473445,0.0,0.420762,0.237037,0.722547,0.0,0.420762,0.000431,0.466203,0.000402,0.437817,1.0,1.0,0.0,0.360267,0.0,0.279599,0.285826,0.693596,0.0,0.279599,0.001299,0.697142,0.001058,0.652187,1.0,1.0,0.0,0.390464,0.0,0.30075,0.613478,1.0,0.0,0.30075,0.0,0.505177,0.0,0.520922,0.0,0.645856,0.0,0.318045,0.000839,0.358093,0.0,0.428129,0.0,0.357464,0.0,0.463244,0.0,0.475825,0.0,0.479193,0.0,0.4346,6e-06,0.457989,0.0,0.492987,0.0,0.457845,0.0,0.532424,0.0,0.533119,0.0,0.520242,0.0,0.374067,0.001074,0.388784,0.0,0.410686,0.0,0.38603,0.0,0.443303,0.0,0.460866,0.0,0.478583,0.0,0.448219,7e-06,0.455244,0.0,0.494911,0.0,0.455044,0.0,0.467744,0.0,0.467734,0.0,0.527151,0.0,0.462934,0.078852,0.514921,0.0,0.459491,0.0,0.472361,1
1,2023-02-06T14:08:38.000000000,2023-02-06T14:09:36.000000000,1.0,1.0,1.0,1.0,0.333333,0.570602,0.639084,0.142039,0.572918,0.059414,1.0,0.908801,0.572918,0.059414,0.184727,0.51326,0.200321,0.51888,0.333333,0.545231,0.407127,0.278059,0.465713,0.159331,0.386668,0.650874,0.465713,0.159331,0.184131,0.40808,0.154015,0.382505,0.333333,0.546925,0.494359,0.213308,0.538635,0.092233,0.465962,0.599827,0.538635,0.092233,0.554979,0.665683,0.405163,0.579665,0.333333,0.575169,0.542639,0.202374,0.534599,0.092526,1.0,0.920567,0.534599,0.092526,0.0,0.437559,0.0,0.428702,0.0,0.225007,0.000348,0.205879,0.000689,0.221213,0.0,0.395736,0.00015,0.22056,0.0,0.355068,0.0,0.361755,0.0,0.150646,3.5e-05,0.235159,0.0,0.230423,0.0,0.374045,6e-06,0.230207,0.0,0.473762,0.0,0.472199,0.0,0.177001,0.000384,0.236525,0.000978,0.228818,1e-06,0.356059,9.6e-05,0.226226,0.0,0.334539,0.0,0.349448,0.0,0.155615,3.6e-05,0.24184,0.0,0.228112,0.0,0.370389,7e-06,0.227834,0.0,0.314668,0.0,0.314594,0.0,0.24003,1e-06,0.308977,0.078851,0.347234,0.0,0.306569,1e-06,0.316541,1
2,2023-02-06T14:09:08.000000000,2023-02-06T14:10:06.000000000,0.000334,0.635904,0.000363,0.637128,1.0,0.308964,0.930026,0.131754,0.954665,0.077719,0.000475,0.521794,0.954665,0.077719,0.000129,0.278546,0.000138,0.291397,1.0,0.302145,0.594475,0.143922,0.777717,0.039726,0.001078,0.455457,0.777717,0.039726,6.1e-05,0.324466,6.1e-05,0.273493,1.0,0.358246,0.718033,0.156899,0.896236,0.08423,0.00048,0.361876,0.896236,0.08423,0.000185,0.418637,0.000147,0.342461,1.0,0.412875,0.789664,0.171432,0.890804,0.099514,0.000477,0.567438,0.890804,0.099514,4e-06,0.133814,4e-06,0.146806,1.0,0.21707,0.003857,0.0,0.0,0.0,6.6e-05,0.2428,0.001496,0.0,1e-06,0.204689,1e-06,0.19612,1.0,0.195293,0.001183,0.0,9e-06,0.0,5e-06,0.193354,0.000477,0.0,9e-06,0.095377,1.1e-05,0.098175,1.0,0.275382,0.008803,0.0,0.0,0.0,0.000317,0.148008,0.00349,0.0,0.0,0.267963,1e-06,0.264657,1.0,0.220105,0.001396,0.0,2.2e-05,0.0,6e-06,0.203467,0.000558,0.0,0.0,0.17415,0.0,0.173895,1.0,0.310855,1e-05,0.161964,0.078841,0.18374,0.0,0.161652,1.2e-05,0.166043,0
3,2023-02-06T14:09:38.000000000,2023-02-06T14:10:36.000000000,0.0,0.545423,0.0,0.544319,0.333333,0.607259,0.929989,0.792718,0.954696,0.788499,1e-06,0.537391,0.954696,0.788499,0.229378,0.711294,0.256962,0.730249,0.333333,0.651719,0.52203,0.778767,0.617355,0.786324,0.313098,0.752696,0.617355,0.786324,0.005461,0.525302,0.008572,0.547926,1.0,0.753216,0.815483,0.755752,0.905604,0.777966,0.328795,0.660407,0.905604,0.777966,5.7e-05,0.547223,4.8e-05,0.547864,1.0,0.731597,0.788255,0.747148,0.889549,0.762967,0.001434,0.604258,0.889549,0.762967,0.416962,0.912775,0.312736,0.834771,0.333333,0.633003,0.563921,0.620218,0.359567,0.543515,0.879208,0.82799,0.359029,0.543452,0.000444,0.543134,0.000806,0.559505,0.0,0.584799,0.052906,0.58696,0.016879,0.500401,0.008836,0.679902,0.017696,0.50043,0.034064,0.977621,0.049279,0.973192,0.333333,0.59765,0.463052,0.580014,0.236586,0.469852,0.659848,0.710911,0.235766,0.468905,0.000445,0.473504,0.000877,0.505342,0.0,0.575201,0.054137,0.596955,0.01818,0.481066,0.007668,0.650847,0.019448,0.481085,0.0,0.407065,0.0,0.406982,0.333333,0.643416,0.002345,0.402389,0.082812,0.45038,4e-06,0.397099,0.0043,0.415801,0
4,2023-02-06T14:10:08.000000000,2023-02-06T14:11:06.000000000,0.0,0.566216,0.0,0.567024,0.0,0.323266,0.929852,0.764994,0.954595,0.753298,0.0,0.472221,0.954595,0.753298,0.430789,0.688012,0.507858,0.730063,0.333333,0.463835,0.756735,0.829056,0.772852,0.756692,0.660726,0.904427,0.772852,0.756692,0.38158,0.768522,0.531474,0.750279,0.666667,0.585678,0.895267,0.772532,0.89802,0.730253,0.680467,0.741961,0.89802,0.730253,0.100581,0.593079,0.108505,0.561545,0.333333,0.468728,0.726206,0.739727,0.8168,0.720704,0.184092,0.670841,0.8168,0.720704,0.976296,0.908864,0.786442,0.817674,0.333333,0.500031,0.592453,0.545063,0.425751,0.449966,0.791068,0.75467,0.425269,0.449638,0.178882,0.599731,0.216734,0.60396,0.333333,0.52921,0.539248,0.741858,0.318318,0.59778,0.670615,0.842775,0.318313,0.597603,1.0,1.0,1.0,1.0,0.333333,0.633563,0.463715,0.437935,0.237134,0.33257,0.661325,0.58258,0.236314,0.333668,0.08234,0.64605,0.116825,0.663765,0.333333,0.544319,0.542488,0.749348,0.312422,0.55897,0.596221,0.814561,0.312418,0.558711,1e-06,0.36829,1e-06,0.368073,0.333333,0.559374,0.006894,0.360158,0.095561,0.404554,1.4e-05,0.353983,0.018139,0.376464,0
5,2023-02-06T14:10:38.000000000,2023-02-06T14:11:36.000000000,0.0,0.456527,0.0,0.456682,0.0,0.348072,0.929852,0.805641,0.954595,0.805319,0.0,0.395897,0.954595,0.805319,0.102271,0.494079,0.121592,0.508278,0.333333,0.480614,0.728864,0.839879,0.745709,0.780405,0.646607,0.87598,0.745709,0.780405,0.981612,1.0,0.900549,0.893256,0.666667,0.647843,0.848788,0.7898,0.858251,0.750783,0.64813,0.741431,0.858251,0.750783,0.30402,0.652765,0.285638,0.627407,0.333333,0.523802,0.958282,0.969624,0.966265,0.90158,0.588954,0.763642,0.966265,0.90158,0.051955,0.410759,0.064506,0.429346,0.333333,0.54149,0.298132,0.389966,0.160233,0.300895,0.29492,0.541289,0.159528,0.300448,0.669237,0.834234,0.599395,0.79298,0.333333,0.52331,0.71948,0.866184,0.553155,0.746621,0.760784,0.898038,0.553152,0.746562,0.001056,0.381144,0.001229,0.385606,1.0,0.919949,0.03327,0.206463,0.001876,0.203649,0.004595,0.290545,0.012956,0.211061,0.950732,1.0,0.896239,1.0,0.333333,0.530771,0.708722,0.866763,0.509657,0.678817,0.766431,0.906886,0.509653,0.678722,1e-06,0.351802,1e-06,0.351695,0.333333,0.574842,0.012637,0.351685,0.113163,0.401726,1.4e-05,0.341892,0.037248,0.374538,0
6,2023-02-06T14:11:08.000000000,2023-02-06T14:12:06.000000000,0.0,0.363505,0.0,0.363129,0.0,0.335675,0.929852,0.791156,0.954595,0.798997,0.0,0.328503,0.954595,0.798997,0.420045,0.641173,0.419324,0.638093,0.333333,0.473955,0.459685,0.644671,0.558228,0.645604,0.29145,0.6433,0.558228,0.645604,0.261946,0.746169,0.321549,0.702832,0.666667,0.684311,0.81211,0.783378,0.860366,0.749887,0.495092,0.712686,0.860366,0.749887,0.409244,0.681002,0.48074,0.711955,0.666667,0.649822,0.976247,1.0,1.0,0.94018,0.414372,0.67318,1.0,0.94018,0.546866,0.673998,0.478225,0.647505,0.333333,0.55296,0.744679,0.606782,0.593604,0.478843,0.94189,0.89082,0.593263,0.478523,0.71114,0.880437,0.637778,0.841715,0.333333,0.499963,0.491545,0.787337,0.323162,0.642445,0.487433,0.824466,0.323157,0.642402,0.548732,0.64487,0.523596,0.632971,0.333333,0.662439,0.681258,0.520364,0.473348,0.390781,0.999773,0.74539,0.472782,0.392052,0.551108,0.869398,0.556565,0.887507,0.333333,0.497535,0.473308,0.781407,0.293111,0.582482,0.422542,0.804746,0.293106,0.582414,8e-06,0.321705,7e-06,0.32172,0.333333,0.557029,0.013781,0.328668,0.111385,0.377339,6.4e-05,0.316874,0.035318,0.352055,0
7,2023-02-06T14:11:38.000000000,2023-02-06T14:12:36.000000000,0.0,0.364131,0.0,0.366773,0.0,0.211742,0.929852,0.701906,0.954595,0.703078,0.0,0.29444,0.954595,0.703078,0.269872,0.750446,0.335475,0.764487,0.333333,0.395266,0.715848,0.584812,0.713131,0.532168,0.712396,0.706283,0.713131,0.532168,0.060561,0.530485,0.098754,0.528202,0.666667,0.603338,0.76192,0.704069,0.881559,0.676083,0.220355,0.626801,0.881559,0.676083,0.022147,0.613211,0.022711,0.631286,0.333333,0.595604,0.722066,0.797409,0.824435,0.763816,0.094267,0.544795,0.824435,0.763816,0.463267,0.793946,0.34811,0.747825,0.333333,0.494899,0.831126,0.647147,0.764663,0.519939,0.494543,0.911136,0.764465,0.519667,0.005776,0.634652,0.007693,0.616756,0.333333,0.487049,0.13895,0.565578,0.116202,0.432271,0.021172,0.641134,0.116196,0.432135,0.566278,0.780396,0.547123,0.790873,0.333333,0.391307,0.706945,0.566496,0.532107,0.384316,0.902608,0.823204,0.531604,0.382612,0.005614,0.567387,0.00754,0.590569,0.333333,0.507915,0.145677,0.555404,0.12522,0.397013,0.0197,0.605663,0.125214,0.396825,2.8e-05,0.29057,1.9e-05,0.290438,0.333333,0.549238,0.008569,0.289866,0.091695,0.329795,5.8e-05,0.28077,0.013943,0.307686,0
8,2023-02-06T14:12:08.000000000,2023-02-06T14:13:06.000000000,0.0,0.351011,0.0,0.350492,0.0,0.336443,0.929852,0.783542,0.954595,0.792136,0.0,0.319971,0.954595,0.792136,1.0,0.667134,1.0,0.69869,0.333333,0.465232,1.0,0.909759,0.962421,0.9154,1.0,0.740619,0.962421,0.9154,0.25023,0.649428,0.272005,0.622248,0.666667,0.695443,0.750485,0.813093,0.859924,0.781037,0.262592,0.721523,0.859924,0.781037,0.25191,0.530947,0.238482,0.547467,0.666667,0.551798,0.746554,0.83274,0.817787,0.811378,0.314045,0.589697,0.817787,0.811378,0.82818,0.81014,0.864756,0.733827,0.333333,0.542592,0.666133,0.601131,0.550934,0.474274,0.653799,0.798173,0.550557,0.473934,0.046751,0.637976,0.061622,0.641979,0.333333,0.48391,0.230142,0.687167,0.122467,0.595618,0.134072,0.706875,0.122462,0.595559,0.73827,0.673827,0.880483,0.690667,0.333333,0.534254,0.447677,0.493244,0.230789,0.34388,0.612905,0.696109,0.229962,0.343998,0.03475,0.668511,0.041017,0.682925,0.333333,0.475834,0.163732,0.688055,0.088703,0.555278,0.057073,0.704958,0.088697,0.555193,1e-06,0.31667,0.0,0.316734,0.333333,0.532706,0.004692,0.324095,0.089521,0.367444,9e-06,0.313784,0.011583,0.342708,0
9,2023-02-06T14:12:38.000000000,2023-02-06T14:13:36.000000000,0.0,0.350545,0.0,0.352862,0.0,0.24211,0.929852,0.661782,0.954595,0.662528,0.0,0.301387,0.954595,0.662528,0.306623,0.491211,0.377489,0.535745,0.333333,0.408773,0.889841,0.660556,0.997991,0.707563,0.287973,0.468591,0.997991,0.707563,0.509691,0.682142,0.514447,0.640246,0.666667,0.601529,0.961575,0.818773,0.91176,0.691741,0.906275,0.859334,0.91176,0.691741,0.21879,0.58828,0.261951,0.61695,0.333333,0.51671,0.87797,0.816028,0.916947,0.762258,0.415268,0.590337,0.916947,0.762258,0.693968,0.709009,0.515333,0.594108,0.333333,0.486748,0.501664,0.468881,0.289364,0.300093,0.782383,0.885837,0.288768,0.299715,0.591542,0.771285,0.593711,0.764102,0.333333,0.471915,0.728625,0.812266,0.572396,0.67639,0.732571,0.856013,0.572393,0.676311,0.267164,0.414318,0.283822,0.410644,0.333333,0.345507,0.405466,0.43364,0.174876,0.249364,0.557194,0.660043,0.173989,0.247345,0.651598,0.755717,0.637689,0.778776,0.333333,0.488325,0.727973,0.831906,0.553623,0.637505,0.721157,0.854631,0.55362,0.637391,1e-06,0.276879,1e-06,0.276763,0.333333,0.533833,0.009936,0.277626,0.105153,0.321949,1.4e-05,0.267871,0.028553,0.299158,0
