segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_am_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_am_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_am_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_am_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_am_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_am_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.002205,0.91273,0.002438,0.913464,0.666667,1.0,0.068013,0.502411,0.025048,0.469696,0.60931,1.0,0.025048,0.469696,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,1.0,1.0,1.0,1.0,0.0,0.546231,0.150632,0.237468,0.124655,0.214314,1.0,0.907816,0.124655,0.214314,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,1.7e-05,0.621724,7.6e-05,0.622511,1.0,0.381865,0.189316,0.0,0.19214,0.0,0.000434,0.504211,0.19214,0.0,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.000144,0.541177,0.000202,0.541967,0.0,0.760069,0.191011,0.427386,0.193838,0.427295,0.0,0.527863,0.193838,0.427295,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,6.1e-05,0.555664,9.4e-05,0.556587,0.0,0.478229,0.190238,0.325706,0.193064,0.332566,0.000204,0.454285,0.193064,0.332566,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0.448326,0.0,0.449582,0.0,0.474255,0.187722,0.312158,0.190557,0.321684,0.000176,0.376547,0.190557,0.321684,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.001492,0.356777,0.001166,0.358434,0.0,0.456953,0.17623,0.267104,0.178542,0.27873,0.02483,0.316076,0.178542,0.27873,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0204,0.357641,0.01812,0.358655,0.0,0.339691,0.153279,0.168331,0.15548,0.182348,0.029081,0.284034,0.15548,0.182348,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.018376,0.354422,0.017785,0.35729,0.0,0.53633,0.127865,0.221689,0.130143,0.234049,0.02492,0.306708,0.130143,0.234049,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.007711,0.343478,0.013581,0.348041,0.333333,0.519015,0.108514,0.119821,0.111373,0.132762,0.00703,0.286953,0.111373,0.132762,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,1
