segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_am_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_am_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_am_demodulated,m3_speed_rms_baseband,m3_speed_rms_am_demodulated,m3_speed_mean_baseband,m3_speed_mean_am_demodulated,m3_speed_variance_baseband,m3_speed_variance_am_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,0.002341,0.890474,0.002053,0.79371,1.0,1.0,0.0,0.312402,0.0,0.245834,0.613478,1.0,0.0,0.245834,0.0,0.481674,0.0,0.508504,0.0,0.419009,0.0,0.488738,0.03199,0.507511,0.0,0.488028,0.0,0.48939,0.002341,0.898001,0.002612,0.896676,1.0,1.0,0.0,0.250763,0.0,0.208026,0.613478,1.0,0.0,0.208026,0.0,0.445533,0.0,0.439277,0.0,0.640594,0.0,0.40975,0.003327,0.503381,0.0,0.359777,0.0,0.500986,0.0,0.581208,0.0,0.582925,0.0,0.432154,0.0,0.515231,0.006772,0.538883,0.0,0.537153,0.0,0.535922,1
1,1.0,1.0,0.785987,0.839325,0.333333,0.628052,0.601486,0.168558,0.555792,0.075742,1.0,0.911661,0.555792,0.075742,0.0,0.328864,0.0,0.34707,0.0,0.274263,0.0,0.31832,0.03199,0.328682,0.0,0.316403,0.0,0.319449,1.0,1.0,1.0,1.0,0.333333,0.639677,0.68181,0.112447,0.597093,0.035763,1.0,0.910287,0.597093,0.035763,0.0,0.228078,0.0,0.223357,0.0,0.276509,0.0,0.183723,0.003327,0.275437,0.0,0.156421,0.0,0.273495,0.0,0.400055,0.0,0.401289,0.0,0.288165,0.0,0.358989,0.006772,0.372952,0.0,0.372089,0.0,0.371544,1
2,0.000334,0.64662,0.000285,0.540384,1.0,0.383571,0.875311,0.14661,0.926128,0.08599,0.000475,0.532515,0.926128,0.08599,0.0,0.195642,0.0,0.206912,0.0,0.103411,0.0,0.170445,0.03199,0.174667,0.0,0.17013,0.0,0.170518,0.000334,0.644592,0.000363,0.647282,1.0,0.354597,0.992203,0.110669,0.994948,0.058301,0.000475,0.532819,0.994948,0.058301,0.0,0.041054,0.0,0.026757,0.0,0.0,0.0,0.0,0.003327,0.065523,0.0,0.0,0.0,0.064109,0.0,0.223779,0.0,0.223424,0.0,0.076731,0.0,0.227477,0.006772,0.233658,0.0,0.235745,0.0,0.231106,1
3,0.0,0.549914,0.0,0.532162,0.333333,0.664987,0.875276,0.789512,0.926158,0.787595,1e-06,0.539213,0.926158,0.787595,0.0,0.424459,0.0,0.447763,0.0,0.370715,0.0,0.407161,0.03199,0.417062,0.0,0.40348,0.0,0.409181,0.0,0.550198,0.0,0.552306,0.333333,0.686928,0.992163,0.806082,0.994981,0.806925,1e-06,0.537756,0.994981,0.806925,0.0,0.350127,0.0,0.347966,0.0,0.36997,0.0,0.287983,0.003327,0.397465,0.0,0.249346,0.0,0.395459,0.0,0.520951,0.0,0.522574,0.0,0.398263,0.0,0.464055,0.006772,0.480295,0.0,0.47931,0.0,0.479948,1
4,0.0,0.574872,0.0,0.539065,0.0,0.360561,0.875147,0.759702,0.92606,0.750569,0.0,0.480908,0.92606,0.750569,0.0,0.391467,0.0,0.413325,0.0,0.299885,0.0,0.371243,0.03199,0.38092,0.0,0.370373,0.0,0.37183,0.0,0.574626,0.0,0.577253,0.0,0.333521,0.992017,0.77508,0.994875,0.765949,0.0,0.481277,0.994875,0.765949,0.0,0.298217,0.0,0.287563,0.0,0.265636,0.0,0.255476,0.003327,0.340338,0.0,0.228328,0.0,0.338423,0.0,0.466547,0.0,0.466721,0.0,0.305264,0.0,0.435408,0.006772,0.450627,0.0,0.451967,0.0,0.448424,1
5,0.0,0.455402,0.0,0.440057,0.0,0.372134,0.875147,0.794334,0.92606,0.799893,0.0,0.398948,0.92606,0.799893,0.0,0.367666,0.0,0.388259,0.0,0.294341,0.0,0.36101,0.03199,0.372169,0.0,0.360373,0.0,0.361497,0.0,0.461066,0.0,0.461927,0.0,0.356979,0.992017,0.825401,0.994875,0.82676,0.0,0.400274,0.994875,0.82676,0.0,0.292415,0.0,0.283338,0.0,0.310489,0.0,0.252544,0.003327,0.332589,0.0,0.223526,0.0,0.330649,0.0,0.439184,0.0,0.440191,0.0,0.289626,0.0,0.400479,0.006772,0.416976,0.0,0.417406,0.0,0.414577,1
6,0.0,0.35088,0.0,0.34613,0.0,0.352594,0.875147,0.775481,0.92606,0.792066,0.0,0.325846,0.92606,0.792066,0.0,0.326591,0.0,0.344823,0.0,0.281193,0.0,0.333536,0.03199,0.345368,0.0,0.332692,0.0,0.334124,0.0,0.362962,0.0,0.361484,0.0,0.335044,0.992017,0.818885,0.994875,0.827747,0.0,0.328676,0.994875,0.827747,0.0,0.280881,0.0,0.274174,0.0,0.392618,0.0,0.238196,0.003327,0.311808,0.0,0.208376,0.0,0.310019,0.0,0.391396,0.0,0.393458,0.0,0.254256,0.0,0.346651,0.006772,0.363868,0.0,0.363649,0.0,0.361314,1
7,0.0,0.355482,0.0,0.342694,0.0,0.233152,0.875147,0.687841,0.92606,0.695454,0.0,0.298821,0.92606,0.695454,0.0,0.302621,0.0,0.319864,0.0,0.208502,0.0,0.3129,0.03199,0.328932,0.0,0.317142,0.0,0.311269,0.0,0.365328,0.0,0.364373,0.0,0.16173,0.992017,0.717454,0.994875,0.718822,0.0,0.303844,0.994875,0.718822,0.0,0.229538,0.0,0.214247,0.0,0.311801,0.0,0.255567,0.003327,0.287292,0.0,0.232511,0.0,0.285302,0.0,0.349266,0.0,0.349531,0.0,0.195682,0.0,0.329061,0.006772,0.348046,0.0,0.349713,0.0,0.342888,1
8,0.0,0.322632,0.0,0.316647,0.0,0.376577,0.875147,0.765789,0.92606,0.7849,0.0,0.311251,0.92606,0.7849,0.0,0.308847,0.0,0.325555,0.0,0.309247,0.0,0.321271,0.03199,0.332447,0.0,0.319238,0.0,0.322413,0.0,0.342227,0.0,0.336877,0.0,0.364073,0.992017,0.815097,0.994875,0.824716,0.0,0.315712,0.994875,0.824716,0.0,0.323563,0.0,0.318588,0.0,0.687806,0.0,0.272406,0.003327,0.334046,0.0,0.241949,0.0,0.3331,0.0,0.37237,0.0,0.375349,0.0,0.245324,0.0,0.323151,0.006772,0.341304,0.0,0.34137,0.0,0.338708,1
9,0.0,0.343708,0.0,0.331559,0.0,0.269076,0.875147,0.64888,0.92606,0.655368,0.0,0.305896,0.92606,0.655368,0.0,0.289225,0.0,0.305658,0.0,0.203035,0.0,0.302879,0.03199,0.319234,0.0,0.307016,0.0,0.301388,0.0,0.352219,0.0,0.351892,0.0,0.209522,0.992017,0.675241,0.994875,0.676476,0.0,0.310371,0.994875,0.676476,1e-06,0.215617,1e-06,0.201351,1.0,0.893113,0.003371,0.336104,0.002487,0.316851,2.8e-05,0.304905,0.001592,0.316244,0.0,0.336178,0.0,0.336682,0.0,0.201769,0.0,0.317256,0.006772,0.335372,0.0,0.336539,0.0,0.330493,1
