segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_psk_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_psk_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_psk_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_psk_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_psk_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_psk_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_psk_recovered,m2_speed_psd_peak_baseband,m2_speed_psd_peak_original_bits,m2_speed_psd_peak_psk_recovered,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_original_bits,m2_speed_psd_mean_energy_psk_recovered,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_original_bits,m2_speed_psd_peak_freq_psk_recovered,m2_speed_rms_baseband,m2_speed_rms_original_bits,m2_speed_rms_psk_recovered,m2_speed_mean_baseband,m2_speed_mean_original_bits,m2_speed_mean_psk_recovered,m2_speed_variance_baseband,m2_speed_variance_original_bits,m2_speed_variance_psk_recovered,m2_speed_fft_peak_baseband,m2_speed_fft_peak_original_bits,m2_speed_fft_peak_psk_recovered,m3_speed_psd_peak_baseband,m3_speed_psd_peak_original_bits,m3_speed_psd_peak_psk_recovered,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_original_bits,m3_speed_psd_mean_energy_psk_recovered,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_original_bits,m3_speed_psd_peak_freq_psk_recovered,m3_speed_rms_baseband,m3_speed_rms_original_bits,m3_speed_rms_psk_recovered,m3_speed_mean_baseband,m3_speed_mean_original_bits,m3_speed_mean_psk_recovered,m3_speed_variance_baseband,m3_speed_variance_original_bits,m3_speed_variance_psk_recovered,m3_speed_fft_peak_baseband,m3_speed_fft_peak_original_bits,m3_speed_fft_peak_psk_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_psk_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_psk_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_psk_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_psk_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_psk_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_psk_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
0,2023-02-06T14:08:08.000000000,2023-02-06T14:09:06.000000000,0.002341,0,0,0.002053,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.613478,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.002341,0,0,0.002612,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.613478,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
1,2023-02-06T14:08:38.000000000,2023-02-06T14:09:36.000000000,1.0,1,1,0.785987,1,1,0.333333,0,0,0.601486,1,1,0.555792,1,1,1.0,1,1,0.555792,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.333333,0,0,0.68181,1,1,0.597093,1,1,1.0,1,1,0.597093,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
2,2023-02-06T14:09:08.000000000,2023-02-06T14:10:06.000000000,0.000334,0,0,0.000285,0,0,1.0,1,1,0.875311,1,1,0.926128,1,1,0.000475,0,0,0.926128,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.000334,0,0,0.000363,0,0,1.0,1,1,0.992203,1,1,0.994948,1,1,0.000475,0,0,0.994948,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
3,2023-02-06T14:09:38.000000000,2023-02-06T14:10:36.000000000,0.0,0,0,0.0,0,0,0.333333,0,0,0.875276,1,1,0.926158,1,1,1e-06,0,0,0.926158,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.333333,0,0,0.992163,1,1,0.994981,1,1,1e-06,0,0,0.994981,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
4,2023-02-06T14:10:08.000000000,2023-02-06T14:11:06.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,1,0.92606,1,1,0.0,0,0,0.92606,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,1,0.994875,1,1,0.0,0,0,0.994875,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
5,2023-02-06T14:10:38.000000000,2023-02-06T14:11:36.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,1,0.92606,1,1,0.0,0,0,0.92606,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,1,0.994875,1,1,0.0,0,0,0.994875,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
6,2023-02-06T14:11:08.000000000,2023-02-06T14:12:06.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,1,0.92606,1,1,0.0,0,0,0.92606,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,1,0.994875,1,1,0.0,0,0,0.994875,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
7,2023-02-06T14:11:38.000000000,2023-02-06T14:12:36.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,1,0.92606,1,1,0.0,0,0,0.92606,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,1,0.994875,1,1,0.0,0,0,0.994875,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
8,2023-02-06T14:12:08.000000000,2023-02-06T14:13:06.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,1,0.92606,1,1,0.0,0,0,0.92606,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,1,0.994875,1,1,0.0,0,0,0.994875,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
9,2023-02-06T14:12:38.000000000,2023-02-06T14:13:36.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,1,0.92606,1,1,0.0,0,0,0.92606,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,1,0.994875,1,1,0.0,0,0,0.994875,1,1,1e-06,0,0,1e-06,0,0,1.0,1,1,0.003371,0,0,0.002487,0,0,2.8e-05,0,0,0.001592,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
