segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.001638,0.814387,0.001034,0.712706,1.0,1.0,0.0,0.342324,0.0,0.282647,0.613478,1.0,0.0,0.282647,0.0,0.518388,0.0,0.53128,0.0,0.454906,0.0,0.515169,0.079554,0.566896,0.0,0.517283,0.0,0.532745,0.0,0.434049,0.0,0.435855,0.0,0.665607,0.0,0.403059,0.005896,0.489718,0.0,0.425571,0.0,0.485645,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.699513,0.820829,0.395961,0.606362,0.333333,0.440425,0.559359,0.170249,0.533949,0.098282,1.0,0.884483,0.533949,0.098282,0.0,0.337067,0.0,0.344833,0.0,0.277952,0.0,0.310622,0.079554,0.356657,0.0,0.318316,0.0,0.323223,0.0,0.262812,0.0,0.261489,0.0,0.269917,0.0,0.179402,0.005896,0.27057,0.0,0.207533,0.0,0.267284,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.000234,0.433933,0.000144,0.28116,1.0,0.142769,0.814006,0.141618,0.88973,0.108082,0.000475,0.447056,0.88973,0.108082,0.0,0.150327,0.0,0.150203,0.0,0.171199,0.0,0.163,0.079554,0.183267,0.0,0.162865,0.0,0.169785,0.0,0.11344,0.0,0.106476,0.0,0.0,0.0,0.0,0.005896,0.068458,0.0,0.047,0.0,0.066312,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0.468634,0.0,0.485475,0.333333,0.456081,0.813973,0.809227,0.889759,0.820394,1e-06,0.449265,0.889759,0.820394,0.0,0.435423,0.0,0.445961,0.0,0.331265,0.0,0.378049,0.079554,0.441625,0.0,0.394339,0.0,0.394881,0.0,0.369058,0.0,0.370586,0.0,0.360935,0.0,0.290891,0.005896,0.389207,0.0,0.325977,0.0,0.385668,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0.470175,0.0,0.449568,0.0,0.152613,0.813854,0.784267,0.889665,0.787408,0.0,0.388026,0.889665,0.787408,0.0,0.362272,0.0,0.368519,0.0,0.338621,0.0,0.361152,0.079554,0.400357,0.0,0.364113,0.0,0.375813,0.0,0.327935,0.0,0.326084,0.0,0.280873,0.0,0.254172,0.005896,0.331269,0.0,0.299827,0.0,0.32821,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0.375263,0.0,0.382812,0.0,0.189988,0.813854,0.817168,0.889665,0.834006,0.0,0.302444,0.889665,0.834006,0.0,0.375617,0.0,0.383419,0.0,0.348562,0.0,0.379685,0.079554,0.412712,0.0,0.37971,0.0,0.3928,0.0,0.308927,0.0,0.307178,0.0,0.311353,0.0,0.247522,0.005896,0.325473,0.0,0.279112,0.0,0.322378,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0.290662,0.0,0.312798,0.0,0.240831,0.813854,0.795435,0.889665,0.822287,0.0,0.230483,0.889665,0.822287,0.0,0.39352,0.0,0.40363,0.0,0.352413,0.0,0.396107,0.079554,0.422699,0.0,0.395604,0.0,0.406796,0.0,0.275719,0.0,0.273215,0.0,0.33847,0.0,0.230105,0.005896,0.309373,0.0,0.242646,0.0,0.306376,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0.2669,0.0,0.267417,0.0,0.168927,0.813854,0.702864,0.889665,0.722927,0.0,0.20318,0.889665,0.722927,0.0,0.30542,0.0,0.310448,0.0,0.403929,0.0,0.406862,0.079554,0.395632,0.0,0.377545,0.0,0.417293,0.0,0.241553,0.0,0.236928,0.0,0.322171,0.0,0.220797,0.005896,0.272112,0.0,0.232398,0.0,0.269198,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0.299887,0.0,0.319922,0.0,0.469597,0.813854,0.789154,0.889665,0.814775,0.0,0.229599,0.889665,0.814775,0.0,0.451586,0.0,0.464918,0.0,0.437588,0.0,0.452728,0.079554,0.471568,0.0,0.45023,0.0,0.462054,0.0,0.275699,0.0,0.271217,0.0,0.438411,9e-06,0.26128,0.005894,0.337929,0.0,0.25294,2e-06,0.335186,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,1e-06,0.244216,1e-06,0.245816,1.0,0.693895,0.814061,0.649675,0.889821,0.671688,5.8e-05,0.214533,0.889821,0.671688,0.0,0.294033,0.0,0.29902,0.333333,0.617625,0.014115,0.478283,0.083782,0.420258,0.000215,0.407681,0.015189,0.491364,0.0,0.229364,0.0,0.225693,0.333333,0.617472,0.00087,0.249615,0.005729,0.28033,2e-06,0.232255,0.000298,0.277673,0
