segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_fm_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_fm_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_fm_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_fm_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_fm_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_fm_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.001638,1.0,0.001034,0.723151,1.0,0.876869,0.0,0.474627,0.0,0.233043,0.613478,1.0,0.0,0.233043,0.0,0.536278,0.0,0.353359,0.0,0.08953,0.0,0.600704,0.079554,0.519348,0.0,0.499962,0.0,0.548317,0.0,0.799268,0.0,0.348063,0.0,0.587099,0.0,0.575569,0.005896,0.653014,0.0,0.336652,0.0,0.726794,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.699513,0.37555,0.395961,0.12063,0.333333,0.4824,0.559359,0.318271,0.533949,0.121966,1.0,0.621086,0.533949,0.121966,0.0,0.160029,0.0,0.129617,0.0,0.074944,0.0,0.088763,0.079554,0.300488,0.0,0.306434,0.0,0.036856,0.0,0.076009,0.0,0.110154,0.0,0.0,0.0,0.075171,0.005896,0.0,0.0,0.009102,0.0,0.0,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.000234,0.01878,0.000144,0.044111,1.0,0.447511,0.814006,0.317442,0.88973,0.116784,0.000475,0.0,0.88973,0.116784,0.0,0.245386,0.0,0.197276,0.0,0.117883,0.0,0.226034,0.079554,0.309477,0.0,0.383221,0.0,0.166498,0.0,0.262517,0.0,0.195191,0.0,0.162382,0.0,0.263568,0.005896,0.211889,0.0,0.135049,0.0,0.276722,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0.351476,0.0,0.228253,0.333333,0.349067,0.813973,0.415738,0.889759,0.112796,1e-06,0.291578,0.889759,0.112796,0.0,0.304942,0.0,0.262529,0.0,0.181616,0.0,0.255927,0.079554,0.342165,0.0,0.440365,0.0,0.221171,0.0,0.339355,0.0,0.271068,0.0,0.231917,0.0,0.291687,0.005896,0.294824,0.0,0.22978,0.0,0.340578,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0.183556,0.0,0.065748,0.0,0.039619,0.813854,0.359766,0.889665,0.110672,0.0,0.271366,0.889665,0.110672,0.0,0.291497,0.0,0.284699,0.0,0.178814,0.0,0.182461,0.079554,0.302156,0.0,0.427049,0.0,0.156376,0.0,0.191169,0.0,0.232629,0.0,0.07336,0.0,0.13601,0.005896,0.072044,0.0,0.108891,0.0,0.080967,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0.255935,0.0,0.120968,0.0,0.40722,0.813854,0.176508,0.889665,0.121219,0.0,0.237719,0.889665,0.121219,0.0,0.129065,0.0,0.081676,0.0,0.192648,0.0,0.161615,0.079554,0.263078,0.0,0.409842,0.0,0.162902,0.0,0.264895,0.0,0.193875,0.0,0.257629,0.0,0.176568,0.005896,0.198288,0.0,0.183374,0.0,0.242707,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0.220162,0.0,0.058877,0.0,0.247037,0.813854,0.176647,0.889665,0.110287,0.0,0.318198,0.889665,0.110287,0.0,0.248892,0.0,0.234416,0.0,0.186807,0.0,0.159412,0.079554,0.23632,0.0,0.434804,0.0,0.156028,0.0,0.172306,0.0,0.176575,0.0,0.10684,0.0,0.090631,0.005896,0.044265,0.0,0.070172,0.0,0.063205,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0.213477,0.0,0.088383,0.0,0.342939,0.813854,0.3969,0.889665,0.09682,0.0,0.198055,0.889665,0.09682,0.0,0.348806,0.0,0.325489,0.0,0.295248,0.0,0.204133,0.079554,0.287155,0.0,0.474945,0.0,0.214029,0.0,0.254993,0.0,0.21863,0.0,0.292023,0.0,0.145323,0.005896,0.129195,0.0,0.143837,0.0,0.161811,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0.275494,0.0,0.117268,0.0,0.810142,0.813854,0.523425,0.889665,0.128815,0.0,0.306279,0.889665,0.128815,0.0,0.220833,0.0,0.18021,0.0,0.601366,0.0,0.176391,0.079554,0.277974,0.0,0.418545,0.0,0.196239,0.0,0.238722,0.0,0.183134,0.0,0.589767,9e-06,0.152894,0.005894,0.16962,0.0,0.161509,2e-06,0.202632,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,1e-06,0.219947,1e-06,0.102035,1.0,0.774994,0.814061,0.352726,0.889821,0.154238,5.8e-05,0.261568,0.889821,0.154238,0.0,0.81888,0.0,0.828035,0.333333,0.680377,0.014115,0.568265,0.083782,0.496772,0.000215,0.688622,0.015189,0.524083,0.0,0.255329,0.0,0.238124,0.333333,0.55154,0.00087,0.276048,0.005729,0.182572,2e-06,0.143966,0.000298,0.194657,0
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.001755,0.376012,0.001143,0.247582,1.0,0.562017,0.77719,0.197803,0.854191,0.12977,0.05577,0.269639,0.854191,0.12977,0.002443,0.9955,0.001807,1.0,1.0,0.534494,0.54039,0.918581,0.331602,0.821488,0.31058,0.871131,0.537737,0.789893,3.6e-05,0.497757,5.4e-05,0.457672,1.0,0.403383,0.216218,0.725159,0.105354,0.691223,0.092051,0.612165,0.100048,0.696939,0
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.174185,0.330193,0.138147,0.185225,0.333333,0.463659,0.830569,0.285471,0.888934,0.10507,0.121618,0.371236,0.888934,0.10507,0.943055,0.547417,0.966962,0.531369,0.666667,0.508225,1.0,0.804802,0.911991,0.778677,1.0,0.82654,0.930721,0.708428,0.255174,0.60533,0.239307,0.661109,0.333333,0.347403,0.646556,1.0,0.539139,0.996129,0.450707,1.0,0.536405,0.965201,0
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.038287,0.205505,0.041607,0.096052,0.333333,0.550971,0.866761,0.405454,0.925138,0.13707,0.05577,0.27672,0.925138,0.13707,0.067727,0.129418,0.063567,0.098879,0.0,0.576712,0.841652,0.295598,0.668398,0.418812,0.727646,0.523172,0.721352,0.273876,0.359494,0.637338,0.416315,0.744692,0.333333,0.458723,1.0,0.689867,0.947529,0.767489,0.685646,0.888772,0.947217,0.730217,1
