segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,0.001065,0.688385,0.001208,0.687441,1.0,1.0,0.0,0.275929,0.0,0.231132,0.610527,1.0,0.0,0.231132,0.0,0.582918,0.0,0.582406,0.0,0.447461,0.0,0.534125,0.0,0.560145,0.0,0.559727,0.0,0.536978,0.0,0.733017,0.0,0.664133,0.0,0.399753,0.0,0.651545,0.001744,0.740736,0.0,0.620286,0.0,0.739316,1
1,0.454993,0.639555,0.462363,0.640797,0.333333,0.638413,0.683626,0.114444,0.598029,0.02966,0.99519,0.92251,0.598029,0.02966,0.0,0.40064,0.0,0.400552,0.0,0.309925,0.0,0.372897,0.0,0.390678,0.0,0.390506,0.0,0.374816,0.0,0.504717,0.0,0.457971,0.0,0.274022,0.0,0.451994,0.001744,0.511769,0.0,0.423971,0.0,0.510777,1
2,0.000152,0.39658,0.000168,0.40201,1.0,0.421074,0.994845,0.105438,0.996507,0.044076,0.000473,0.553892,0.996507,0.044076,0.0,0.205075,0.0,0.205876,0.0,0.163375,0.0,0.187071,0.0,0.192192,0.0,0.191603,0.0,0.188337,0.0,0.267525,0.0,0.245915,0.0,0.117937,0.0,0.243508,0.001744,0.277548,0.0,0.221933,0.0,0.276839,1
3,0.0,0.530055,0.0,0.526266,0.333333,0.675184,0.994806,0.860328,0.996539,0.861775,1e-06,0.557569,0.996539,0.861775,0.0,0.525757,0.0,0.525586,0.0,0.406932,0.0,0.492762,0.0,0.516778,0.0,0.516699,0.0,0.495201,0.0,0.661932,0.0,0.600319,0.0,0.373657,0.0,0.593829,0.001744,0.67031,0.0,0.554719,0.0,0.669361,1
4,0.0,0.498715,0.0,0.500479,0.0,0.383471,0.994659,0.829721,0.996434,0.819207,0.0,0.498419,0.996434,0.819207,0.0,0.455362,0.0,0.455766,0.0,0.355576,0.0,0.420551,0.0,0.438019,0.0,0.437479,0.0,0.422942,0.0,0.578108,0.0,0.526388,0.0,0.319946,0.0,0.518744,0.001744,0.589192,0.0,0.484482,0.0,0.58848,1
5,0.0,0.434546,0.0,0.434521,0.0,0.368682,0.994659,0.890952,0.996434,0.893577,0.0,0.408864,0.996434,0.893577,0.0,0.433852,0.0,0.433857,0.0,0.335035,0.0,0.397102,0.0,0.415011,0.0,0.414531,0.0,0.399324,0.0,0.549585,0.0,0.499461,0.0,0.287688,0.0,0.490428,0.001744,0.557665,0.0,0.463049,0.0,0.556645,1
6,0.0,0.364731,0.0,0.363175,0.0,0.312382,0.994659,0.891629,0.996434,0.904403,0.0,0.326626,0.996434,0.904403,0.0,0.39512,0.0,0.394715,0.0,0.300423,0.0,0.356754,0.0,0.374489,0.0,0.374054,0.0,0.358729,0.0,0.498732,0.0,0.452527,0.0,0.237387,0.0,0.440822,0.001744,0.50268,0.0,0.422836,0.0,0.501268,1
7,0.0,0.324747,0.0,0.329731,0.0,0.221716,0.994659,0.794303,0.996434,0.799141,0.0,0.284635,0.996434,0.799141,0.0,0.336134,0.0,0.33632,0.0,0.259357,0.0,0.297508,0.0,0.309262,0.0,0.308438,0.0,0.2995,0.0,0.421216,0.0,0.383583,0.0,0.212231,0.0,0.369711,0.001744,0.428147,0.0,0.35959,0.0,0.427207,1
8,0.0,0.347087,0.0,0.344083,0.0,0.296666,0.994659,0.893818,0.996434,0.908967,0.0,0.304303,0.996434,0.908967,0.0,0.389108,0.0,0.38853,0.0,0.293009,0.0,0.348944,0.0,0.36738,0.0,0.366962,0.0,0.350863,0.0,0.487782,0.0,0.442906,0.0,0.22142,0.0,0.426322,0.001744,0.48816,0.0,0.414269,0.0,0.486422,1
9,0.0,0.31381,0.0,0.318072,0.0,0.257804,0.994659,0.748947,0.996434,0.753731,0.0,0.292138,0.996434,0.753731,0.0,0.325326,0.0,0.325464,0.0,0.251089,0.0,0.29043,0.0,0.302341,0.0,0.301655,0.0,0.292295,0.0,0.404738,0.0,0.368117,0.0,0.209863,0.0,0.355766,0.001744,0.411415,0.0,0.345594,0.0,0.410506,1
10,0.0,0.41324,0.0,0.413258,0.0,0.346502,0.994659,0.86046,0.996434,0.863733,0.0,0.390049,0.996434,0.863733,0.0,0.415,0.0,0.414968,0.0,0.31983,0.0,0.378795,0.0,0.396011,0.0,0.395528,0.0,0.380926,0.0,0.525283,0.0,0.477497,0.0,0.273406,0.0,0.467847,0.001744,0.532508,0.0,0.442876,0.0,0.531423,1
11,0.0,0.459743,0.0,0.453718,0.333333,0.471327,0.994824,0.842078,0.996552,0.839047,8e-06,0.456344,0.996552,0.839047,0.0,0.432817,0.0,0.432722,0.0,0.333718,0.0,0.400181,0.0,0.418952,0.0,0.418655,0.0,0.402244,0.0,0.57083,0.0,0.519514,0.333333,0.394027,0.000429,0.519068,0.001501,0.579894,0.0,0.473743,0.000243,0.578383,1
12,0.000117,0.446449,0.000134,0.458154,1.0,0.606109,0.98542,0.638259,0.987904,0.621964,0.014318,0.456223,0.987904,0.621964,0.0,0.344991,0.0,0.34554,0.0,0.273964,0.0,0.31966,0.0,0.330608,0.0,0.330073,0.0,0.32155,1.3e-05,0.473603,1.4e-05,0.422898,1.0,0.579557,0.012554,0.463627,0.001538,0.506242,0.000264,0.399295,0.007105,0.507941,1
13,0.537929,0.547711,0.606826,0.527887,0.333333,0.576758,0.754359,0.579301,0.716677,0.547899,0.666826,0.611691,0.716677,0.547899,0.0,0.37296,0.0,0.372816,0.0,0.286653,0.0,0.345874,0.0,0.362361,0.0,0.362156,0.0,0.347549,0.182413,0.621906,0.125823,0.56816,0.333333,0.498037,0.39213,0.623332,0.298438,0.645905,0.197853,0.489295,0.297212,0.646787,1
14,0.344976,0.535697,0.283192,0.495126,0.333333,0.693088,0.766236,0.633274,0.72591,0.601686,0.668758,0.631548,0.72591,0.601686,0.0,0.387149,0.0,0.387495,0.0,0.304385,0.0,0.357457,0.0,0.371172,0.0,0.370659,0.0,0.359514,0.283944,0.661249,0.303707,0.620186,0.333333,0.686478,0.392052,0.642779,0.29684,0.666858,0.19839,0.503832,0.295611,0.669096,1
15,1.5e-05,0.418307,1.8e-05,0.415959,1.0,0.913854,0.995578,0.859001,0.997091,0.863089,4.3e-05,0.40973,0.997091,0.863089,0.0,0.411375,0.0,0.411383,0.0,0.317538,0.0,0.376047,0.0,0.392944,0.0,0.392467,0.0,0.378156,7.5e-05,0.526625,7.9e-05,0.479745,1.0,0.960247,0.009841,0.484327,0.0,0.533268,0.00016,0.441025,0.006255,0.540476,1
16,0.0,0.357852,0.0,0.359834,0.0,0.54932,0.99476,0.752839,0.996507,0.756243,0.0,0.337918,0.996507,0.756243,0.0,0.346845,0.0,0.346595,0.0,0.262058,0.0,0.31087,0.0,0.326696,0.0,0.326226,0.0,0.312644,0.0,0.44856,0.0,0.404475,0.0,0.524034,0.000461,0.410379,0.001562,0.457433,0.0,0.380301,0.000183,0.459738,1
17,0.0,0.41461,0.0,0.407317,0.0,0.28937,0.994659,0.739491,0.996434,0.731208,0.0,0.416303,0.996434,0.731208,0.0,0.362848,0.0,0.363048,0.0,0.281457,0.0,0.324939,0.0,0.338346,0.0,0.337617,0.0,0.327112,0.0,0.520263,0.0,0.477691,0.0,0.245977,0.0,0.479238,0.001744,0.530332,0.0,0.425494,0.0,0.52926,1
18,0.0,0.421861,0.0,0.422997,0.0,0.449488,0.994659,0.877024,0.996434,0.883216,0.0,0.3796,0.996434,0.883216,0.0,0.416155,0.0,0.415745,0.0,0.312187,0.0,0.373242,0.0,0.393598,0.0,0.393128,0.0,0.375323,0.0,0.534051,0.0,0.481423,0.0,0.404168,0.0,0.482878,0.001744,0.542096,0.0,0.452305,0.0,0.542679,1
19,0.0,0.349039,0.0,0.346981,0.0,0.27241,0.994659,0.706023,0.996434,0.703945,0.0,0.349453,0.996434,0.703945,0.0,0.327859,0.0,0.328002,0.0,0.253785,0.0,0.294368,0.0,0.306711,0.0,0.306091,0.0,0.296269,0.0,0.44155,0.0,0.403702,0.0,0.205966,0.0,0.399405,0.001744,0.449846,0.0,0.367626,0.0,0.448675,1
