segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_am_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_am_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_am_demodulated,m3_speed_rms_baseband,m3_speed_rms_am_demodulated,m3_speed_mean_baseband,m3_speed_mean_am_demodulated,m3_speed_variance_baseband,m3_speed_variance_am_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_am_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_am_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_am_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_am_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_am_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_am_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_am_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_am_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_am_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_am_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_am_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_am_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_am_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_am_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_am_demodulated,current_pos_z_psd_peak_baseband,current_pos_z_psd_peak_am_demodulated,current_pos_z_psd_mean_energy_baseband,current_pos_z_psd_mean_energy_am_demodulated,current_pos_z_psd_peak_freq_baseband,current_pos_z_psd_peak_freq_am_demodulated,current_pos_z_rms_baseband,current_pos_z_rms_am_demodulated,current_pos_z_mean_baseband,current_pos_z_mean_am_demodulated,current_pos_z_variance_baseband,current_pos_z_variance_am_demodulated,current_pos_z_fft_peak_baseband,current_pos_z_fft_peak_am_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_am_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_am_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_am_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_am_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_am_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_am_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_am_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_am_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_am_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_am_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_am_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_am_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_am_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_am_demodulated,target_pos_z_psd_peak_baseband,target_pos_z_psd_peak_am_demodulated,target_pos_z_psd_mean_energy_baseband,target_pos_z_psd_mean_energy_am_demodulated,target_pos_z_psd_peak_freq_baseband,target_pos_z_psd_peak_freq_am_demodulated,target_pos_z_rms_baseband,target_pos_z_rms_am_demodulated,target_pos_z_mean_baseband,target_pos_z_mean_am_demodulated,target_pos_z_variance_baseband,target_pos_z_variance_am_demodulated,target_pos_z_fft_peak_baseband,target_pos_z_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.00122,0.577869,0.001098,0.574877,1.0,1.0,0.0,0.372546,0.0,0.310607,0.608447,1.0,0.0,0.310607,0.000272,0.538842,0.000236,0.490761,1.0,1.0,0.0,0.305974,0.0,0.246105,0.327785,0.935959,0.0,0.246105,0.000616,0.465727,0.000601,0.481324,1.0,1.0,0.0,0.322725,0.0,0.277743,0.403535,0.879764,0.0,0.277743,0.0,0.504582,0.0,0.505764,1.0,1.0,0.0,0.663947,0.001699,0.728029,0.0,0.516032,0.0,0.727084,2.2e-05,0.468856,1.8e-05,0.442586,1.0,1.0,0.009893,0.702679,0.0,0.624788,0.000401,0.699313,0.002447,0.62812,0.0,0.417323,0.0,0.396645,0.666667,0.833015,0.0,0.387958,0.001769,0.424086,0.0,0.40482,0.0,0.422959,0.0,0.503019,0.0,0.493742,1.0,1.0,0.0,0.434362,0.004202,0.505895,0.0,0.478686,0.0,0.503241,0.0,0.584555,0.0,0.583204,0.0,0.466857,0.002161,0.358784,0.046183,0.423309,5e-06,0.482735,0.001456,0.361528,0.0,0.398781,0.0,0.380126,1.0,0.993244,0.0,0.408338,0.006783,0.485066,0.0,0.477069,0.0,0.480879,0.0,0.524366,0.0,0.514654,0.333333,0.68794,1.1e-05,0.525848,0.003469,0.501339,1e-06,0.596275,0.0,0.499893,0
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.528325,0.435877,0.426453,0.346151,0.333333,0.54224,0.507135,0.212969,0.501368,0.161997,1.0,0.753882,0.501368,0.161997,0.273653,0.31263,0.234463,0.233778,0.333333,0.542374,0.520398,0.132684,0.440338,0.034104,0.964133,0.836931,0.440338,0.034104,0.276135,0.305446,0.241811,0.296254,0.333333,0.701176,0.446493,0.141759,0.485034,0.101992,0.626933,0.655558,0.485034,0.101992,2.2e-05,0.304379,3.4e-05,0.300864,0.333333,0.692633,0.017309,0.22094,0.009628,0.286285,0.001021,0.299598,0.007927,0.285822,0.137582,0.184134,0.119524,0.168641,0.333333,0.652494,0.707526,0.587047,0.52966,0.473594,0.663757,0.613528,0.525299,0.475653,0.000142,0.16201,0.000137,0.157538,0.333333,0.6241,0.066316,0.160235,0.044811,0.188156,0.006529,0.174266,0.042962,0.187975,9.2e-05,0.242456,0.000117,0.234435,0.333333,0.73666,0.038757,0.12136,0.021642,0.233482,0.004858,0.216959,0.017357,0.23341,0.000102,0.380855,7.1e-05,0.38184,1.0,0.73855,0.054131,0.155887,0.059075,0.26328,0.003382,0.288423,0.053334,0.227895,0.000196,0.167095,0.000136,0.162101,0.333333,0.730509,0.084083,0.180604,0.079884,0.233917,0.007666,0.223337,0.073391,0.232744,0.004738,0.13782,0.00466,0.12796,0.333333,0.51289,0.381107,0.206343,0.231945,0.184871,0.254869,0.203614,0.228721,0.185487,0
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.076902,0.408203,0.080539,0.340099,0.666667,0.028116,0.599748,0.094532,0.662428,0.060391,0.481154,0.478848,0.662428,0.060391,0.833049,0.251882,0.892429,0.190699,0.666667,0.082097,0.835206,0.095467,0.83426,0.03988,0.784349,0.535842,0.83426,0.03988,0.086958,0.112182,0.092291,0.09604,0.666667,0.286913,0.65943,0.061576,0.796926,0.072842,0.150924,0.246403,0.796926,0.072842,0.001079,0.20098,0.001718,0.201583,0.333333,0.263943,0.161176,0.0,0.087913,0.0,0.078482,0.215426,0.086347,0.0,0.987975,0.225887,0.95915,0.205761,0.666667,0.259367,0.859768,0.461443,0.830048,0.366773,0.778054,0.458591,0.828472,0.3684,0.002254,0.0,0.004563,0.0,0.666667,0.261152,0.132412,0.0,0.145238,0.0,0.015001,0.0,0.143584,0.0,0.004238,0.238383,0.005419,0.258013,0.333333,0.137132,0.24936,0.007584,0.127109,0.0,0.187654,0.307477,0.123286,0.0,0.11792,0.231798,0.122035,0.230285,0.333333,0.596673,0.52308,0.125009,0.422122,0.152977,0.288354,0.167288,0.394392,0.134807,0.007241,0.0,0.00725,0.0,0.666667,0.322626,0.144154,0.0,0.203159,0.0,0.014768,0.0,0.197536,0.0,0.295256,0.0,0.321536,0.0,0.333333,0.213118,0.649171,0.091857,0.62799,0.09525,0.35686,0.0,0.626429,0.095467,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.620579,0.29807,0.697917,0.262241,0.333333,0.779569,0.599281,0.68365,0.662058,0.733399,0.480845,0.54843,0.662058,0.733399,0.137408,0.530253,0.136291,0.507299,0.666667,0.869424,0.776336,0.725002,0.874796,0.813114,0.261748,0.627186,0.874796,0.813114,0.131854,0.293355,0.171058,0.312891,0.333333,0.972736,0.692158,0.696547,0.831979,0.77459,0.120322,0.377922,0.831979,0.77459,0.129279,0.400446,0.140707,0.395361,0.333333,0.821031,0.365231,0.605294,0.312291,0.660908,0.156752,0.40653,0.311111,0.660353,0.283541,0.58363,0.31963,0.538307,0.666667,0.894919,0.496106,0.635595,0.414268,0.665973,0.305201,0.615498,0.408836,0.665109,0.019931,0.271418,0.023355,0.25997,0.333333,1.0,0.264017,0.425163,0.351567,0.537342,0.025806,0.295682,0.350312,0.537663,0.509413,0.3469,0.599173,0.34303,0.333333,0.953371,0.762974,0.755593,0.619574,0.815936,0.807023,0.431105,0.617908,0.817215,0.18803,0.571786,0.181282,0.575897,0.666667,0.847232,0.584413,0.684643,0.840872,0.879173,0.259986,0.562874,0.833236,0.85326,0.030671,0.275283,0.024933,0.260222,0.333333,1.0,0.316717,0.497507,0.543704,0.790471,0.036624,0.376447,0.540484,0.790575,0.352078,0.361744,0.322752,0.340188,0.333333,0.819594,0.525553,0.358257,0.395972,0.391049,0.396247,0.315737,0.393437,0.39671,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.000562,0.461811,0.000646,0.446517,1.0,0.629966,0.847718,0.782733,0.899625,0.812386,0.260129,0.513,0.899625,0.812386,0.000258,0.299522,0.000261,0.246477,1.0,0.629443,0.686637,0.604171,0.836348,0.747947,0.027595,0.352424,0.836348,0.747947,0.000279,0.250424,0.000253,0.247724,1.0,0.877164,0.707645,0.671927,0.866386,0.757026,0.001351,0.257634,0.866386,0.757026,4e-06,0.409118,7e-06,0.408015,1.0,0.776777,0.460022,0.635758,0.461649,0.676458,0.00198,0.414279,0.460725,0.676117,0.000115,0.249243,9.6e-05,0.230387,1.0,0.694109,0.134973,0.373171,0.209073,0.41368,0.002538,0.336077,0.201738,0.411775,3.3e-05,0.278065,3.9e-05,0.262276,1.0,0.820838,0.322936,0.442852,0.467778,0.544854,0.01021,0.278245,0.466748,0.544504,0.001765,0.447778,0.002021,0.466799,1.0,0.734924,0.980295,0.944471,0.956905,0.949783,0.205257,0.596901,0.956716,0.94962,0.000263,0.443978,0.000203,0.443236,1.0,0.908347,0.351971,0.481532,0.816214,0.791896,0.014348,0.357407,0.807395,0.777388,6.1e-05,0.264365,5.6e-05,0.248584,1.0,0.814192,0.399484,0.521921,0.77965,0.845375,0.011453,0.331181,0.778095,0.844859,0.000684,0.19152,0.000672,0.189202,1.0,0.859229,0.063934,0.123407,0.017312,0.160857,0.009515,0.114027,0.028953,0.169238,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.644572,0.760235,0.75465,0.865883,0.333333,0.338385,0.949314,0.886191,0.963931,0.900305,0.478055,0.565486,0.963931,0.900305,0.021972,0.281896,0.028392,0.234215,0.333333,0.277449,0.685146,0.62365,0.834835,0.801439,0.028494,0.262333,0.834835,0.801439,0.0,0.221809,0.0,0.223529,1.0,0.868149,0.707377,0.707294,0.86638,0.806602,0.0,0.198236,0.86638,0.806602,0.202698,0.497578,0.204898,0.499563,0.333333,0.495012,0.325393,0.632296,0.240394,0.60432,0.207038,0.504478,0.239089,0.603998,0.003049,0.235482,0.00247,0.221812,0.333333,0.429101,0.087538,0.304557,0.09973,0.305234,0.00781,0.275957,0.091381,0.303205,0.016493,0.270078,0.018081,0.25694,0.333333,0.444011,0.218528,0.412209,0.21701,0.43898,0.048882,0.297211,0.215494,0.437985,0.640737,0.739369,0.752677,0.807706,0.333333,0.388638,0.66324,0.908448,0.444131,0.752924,0.979247,1.0,0.441697,0.750632,0.009944,0.442887,0.006908,0.43922,0.333333,0.403765,0.230342,0.422515,0.384713,0.586806,0.03673,0.367497,0.355188,0.552908,0.021484,0.258818,0.016717,0.242951,0.333333,0.458981,0.270221,0.477168,0.363685,0.643848,0.054484,0.352033,0.359194,0.641778,0.032284,0.231175,0.047921,0.229958,0.333333,0.52589,0.10977,0.174098,0.052817,0.188622,0.024628,0.159118,0.04884,0.187353,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.042892,0.441657,0.038927,0.481998,0.0,0.224837,0.845855,0.849925,0.89816,0.889625,0.259177,0.414935,0.89816,0.889625,0.000246,0.214642,0.00023,0.158676,1.0,0.591566,0.639488,0.549207,0.799206,0.76005,0.001013,0.130207,0.799206,0.76005,0.0,0.16914,0.0,0.170465,1.0,0.835332,0.707834,0.701396,0.86678,0.806724,2.1e-05,0.143084,0.86678,0.806724,0.002363,0.407217,0.002875,0.41031,0.0,0.305107,0.044616,0.500052,0.012594,0.500975,0.007958,0.406942,0.010999,0.500755,2e-06,0.169553,2e-06,0.162865,1.0,0.639634,0.000405,0.187091,0.010439,0.184519,6e-06,0.170345,0.001262,0.182648,2.3e-05,0.215072,2.7e-05,0.204905,1.0,0.685638,0.007361,0.299669,0.0,0.335043,9.9e-05,0.26054,0.004262,0.338002,0.000877,0.498344,0.001105,0.532047,1.0,0.670839,0.022289,0.553947,0.00052,0.527985,0.001973,0.606311,0.008729,0.533956,1e-05,0.402353,6e-06,0.399261,1.0,0.628254,0.005043,0.268311,0.045772,0.406547,3e-05,0.306701,0.005082,0.353364,3e-05,0.202271,2.5e-05,0.194554,1.0,0.661086,0.008969,0.322571,0.004162,0.440085,0.00011,0.295747,0.007597,0.445542,0.003472,0.192383,0.003936,0.178729,0.0,0.281685,0.092222,0.154009,0.035398,0.147246,0.018579,0.169495,0.031349,0.146326,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.109324,0.441375,0.101857,0.416753,0.333333,0.100263,0.591309,0.664966,0.631271,0.68577,0.659139,0.448631,0.631271,0.68577,0.0,0.096293,0.0,0.024753,1.0,0.528375,0.642491,0.409061,0.802094,0.63059,2e-06,0.0,0.802094,0.63059,0.000338,0.229883,0.000322,0.221138,1.0,0.598387,0.671123,0.620208,0.828453,0.706418,0.033786,0.148281,0.828453,0.706418,0.00349,0.347422,0.005165,0.358455,0.333333,0.307804,0.195484,0.471353,0.099664,0.468169,0.121033,0.390943,0.098118,0.467975,0.0,0.03734,0.0,0.041082,1.0,0.630209,0.009601,0.073418,0.015948,0.062891,0.000245,0.045009,0.006822,0.060951,2.8e-05,0.308698,2.9e-05,0.298659,1.0,0.65245,0.115641,0.311305,0.057665,0.331775,0.0219,0.281362,0.055841,0.334605,0.000877,0.381714,0.001002,0.395423,1.0,0.571261,0.309829,0.50386,0.105426,0.475286,0.341615,0.508957,0.101509,0.481052,2e-06,0.333955,1e-06,0.322798,1.0,0.780226,0.033671,0.102321,0.067085,0.253669,0.001224,0.179555,0.022471,0.206608,2.7e-05,0.288636,2.1e-05,0.28349,1.0,0.640912,0.109584,0.315121,0.066786,0.392107,0.014844,0.293873,0.060528,0.397324,0.001137,0.156732,0.001315,0.149092,0.333333,0.312777,0.170191,0.105858,0.099495,0.101137,0.053291,0.112057,0.095714,0.102628,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.915012,0.41524,0.879719,0.422526,0.333333,0.562028,0.591667,0.723546,0.631428,0.756861,0.660364,0.477729,0.631428,0.756861,0.0,0.199704,0.0,0.139152,0.0,0.596323,0.642429,0.512118,0.802037,0.731598,1.5e-05,0.094644,0.802037,0.731598,0.030172,0.162288,0.044023,0.165278,0.333333,0.759872,0.676704,0.684758,0.832976,0.764966,0.036217,0.257115,0.832976,0.764966,0.168196,0.425259,0.155167,0.432511,0.333333,0.418994,0.381475,0.75253,0.331629,0.743225,0.155757,0.457413,0.330481,0.743022,0.000479,0.147878,0.000396,0.141543,0.333333,0.463338,0.039651,0.215071,0.057906,0.189978,0.001201,0.148817,0.049169,0.188212,0.021272,0.215366,0.023577,0.204972,0.333333,0.457605,0.294777,0.554669,0.342343,0.600115,0.06254,0.379975,0.341071,0.599795,0.629636,0.435108,0.750328,0.455315,0.333333,0.663346,0.782228,0.925381,0.613544,0.878329,0.954803,0.582241,0.611852,0.87806,0.001622,0.398774,0.001123,0.39556,0.333333,0.279328,0.109321,0.358635,0.236522,0.503866,0.005968,0.319357,0.199886,0.450617,0.028364,0.197526,0.022082,0.190787,0.333333,0.421285,0.355537,0.55702,0.542535,0.771189,0.071828,0.385767,0.539306,0.771058,0.085599,0.190473,0.084901,0.163902,0.333333,0.425956,0.170652,0.283348,0.097375,0.218982,0.054296,0.288054,0.093586,0.218191,0
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.004481,0.245882,0.004732,0.236239,1.0,0.519691,0.83268,0.75466,0.893596,0.78457,0.195848,0.346362,0.893596,0.78457,0.000292,0.117002,0.000259,0.05024,1.0,0.70463,0.622277,0.36936,0.779668,0.571305,0.021445,0.056221,0.779668,0.571305,0.011032,0.351974,0.013568,0.340743,1.0,0.668525,0.685531,0.612841,0.796528,0.634268,0.284211,0.41471,0.796528,0.634268,0.046151,0.332521,0.064331,0.364477,0.333333,0.36674,0.601667,0.777344,0.578879,0.792889,0.124333,0.441879,0.578156,0.792852,0.000345,0.094404,0.000379,0.095091,0.333333,0.473549,0.177065,0.23171,0.140605,0.169684,0.04281,0.120682,0.132635,0.168344,0.000922,0.471638,0.001843,0.472125,0.333333,0.391217,0.582252,0.6848,0.682608,0.747774,0.234568,0.51788,0.681994,0.748511,0.000768,0.240317,0.000979,0.231115,1.0,0.648431,0.976671,0.906153,0.973419,0.939927,0.050525,0.370151,0.973302,0.941245,0.001002,0.370796,0.001118,0.351461,0.333333,0.515931,0.299969,0.348309,0.458726,0.479942,0.067624,0.261528,0.432753,0.444863,0.010634,0.471698,0.007652,0.474719,0.333333,0.4111,0.497847,0.630237,0.795745,0.858921,0.120598,0.479475,0.794304,0.860642,0.004593,0.195792,0.004652,0.183464,0.333333,0.367031,0.371225,0.354222,0.225196,0.289171,0.242465,0.344124,0.221943,0.28967,1
