segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
0,0.000463,0.544858,0.000597,0.547482,1.0,1.0,0.0,0.394312,0.0,0.342381,0.325645,0.781463,0.0,0.342381,0.0,0.649317,0.0,0.612063,0.0,0.464382,0.0,0.541563,0.044168,0.535544,0.0,0.542923,0.0,0.516533,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
1,0.197852,0.420487,0.228529,0.431337,0.333333,0.620289,0.456975,0.239275,0.466182,0.158919,0.530818,0.646246,0.466182,0.158919,0.0,0.425813,0.0,0.400093,0.0,0.27658,0.0,0.328656,0.044168,0.331813,0.0,0.337097,0.0,0.314275,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,0.0,0.681906,1
2,6.6e-05,0.238341,8.3e-05,0.246197,1.0,0.447375,0.665012,0.164737,0.776808,0.126932,0.000252,0.355376,0.776808,0.126932,0.0,0.18457,0.0,0.171985,0.0,0.14404,0.0,0.176191,0.044168,0.173437,0.0,0.172272,0.0,0.166558,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,0.0,0.354736,1
3,0.0,0.434248,0.0,0.43171,0.333333,0.643455,0.664985,0.706539,0.776833,0.813005,1e-06,0.486912,0.776833,0.813005,0.0,0.553332,0.0,0.519314,0.0,0.331441,0.0,0.398427,0.044168,0.407444,0.0,0.416966,0.0,0.383215,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,0.0,0.890971,1
4,0.0,0.400875,0.0,0.399775,0.0,0.419061,0.664887,0.666027,0.776751,0.766975,0.0,0.425839,0.776751,0.766975,0.0,0.456787,0.0,0.427653,0.0,0.319538,0.0,0.385592,0.044168,0.379239,0.0,0.387316,0.0,0.366273,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,0.0,0.780921,1
5,0.0,0.371913,0.0,0.368942,0.0,0.413727,0.664887,0.678889,0.776751,0.796073,0.0,0.386259,0.776751,0.796073,0.0,0.469112,0.0,0.441805,0.0,0.343501,0.0,0.402712,0.044168,0.393151,0.0,0.400824,0.0,0.382428,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,0.0,0.745299,1
6,0.0,0.3308,0.0,0.326774,0.0,0.390236,0.664887,0.644338,0.776751,0.763953,0.0,0.346794,0.776751,0.763953,0.0,0.485366,0.0,0.462173,0.0,0.375406,0.0,0.416143,0.044168,0.404975,0.0,0.414003,0.0,0.395982,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,0.0,0.680485,1
7,0.0,0.313932,0.0,0.311311,0.0,0.37313,0.664887,0.578643,0.776751,0.679078,0.0,0.313366,0.776751,0.679078,0.0,0.376515,0.0,0.355999,0.0,0.395015,0.0,0.447292,0.044168,0.401688,0.0,0.416821,0.0,0.411624,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,0.0,0.590528,1
8,0.0,0.321652,0.0,0.317714,0.0,0.39671,0.664887,0.616585,0.776751,0.728444,0.0,0.356356,0.776751,0.728444,0.0,0.555896,0.0,0.536012,0.0,0.529915,0.0,0.476827,0.044168,0.456734,0.0,0.47429,0.0,0.451809,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,0.0,0.670582,1
9,0.0,0.30648,0.0,0.304791,0.0,0.517158,0.664994,0.552195,0.77684,0.644079,0.0,0.316392,0.77684,0.644079,0.0,0.36308,1e-06,0.342861,0.666667,0.709348,0.012095,0.555465,0.048751,0.456689,0.000159,0.489851,0.012829,0.493056,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,0.0,0.568524,1
