segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_original_bits,i3_photoresistor_psd_peak_psk_recovered,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_original_bits,i3_photoresistor_psd_mean_energy_psk_recovered,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_original_bits,i3_photoresistor_psd_peak_freq_psk_recovered,i3_photoresistor_rms_baseband,i3_photoresistor_rms_original_bits,i3_photoresistor_rms_psk_recovered,i3_photoresistor_mean_baseband,i3_photoresistor_mean_original_bits,i3_photoresistor_mean_psk_recovered,i3_photoresistor_variance_baseband,i3_photoresistor_variance_original_bits,i3_photoresistor_variance_psk_recovered,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_original_bits,i3_photoresistor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.002205,0,0,0.002438,0,0,0.666667,1,1,0.068013,0,0,0.025048,0,0,0.60931,1,1,0.025048,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,1.0,1,1,1.0,1,1,0.0,0,0,0.150632,0,0,0.124655,0,0,1.0,1,1,0.124655,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,1.7e-05,0,0,7.6e-05,0,0,1.0,1,1,0.189316,0,0,0.19214,0,0,0.000434,0,0,0.19214,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.000144,0,0,0.000202,0,0,0.0,0,0,0.191011,0,0,0.193838,0,0,0.0,0,0,0.193838,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,6.1e-05,0,0,9.4e-05,0,0,0.0,0,0,0.190238,0,0,0.193064,0,0,0.000204,0,0,0.193064,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.187722,0,0,0.190557,0,0,0.000176,0,0,0.190557,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.001492,0,0,0.001166,0,0,0.0,0,0,0.17623,0,0,0.178542,0,0,0.02483,0,0,0.178542,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0204,0,0,0.01812,0,0,0.0,0,0,0.153279,0,0,0.15548,0,0,0.029081,0,0,0.15548,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.018376,0,0,0.017785,0,0,0.0,0,0,0.127865,0,0,0.130143,0,0,0.02492,0,0,0.130143,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.007711,0,0,0.013581,0,0,0.333333,0,0,0.108514,0,0,0.111373,0,0,0.00703,0,0,0.111373,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
