segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_fm_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_fm_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_fm_demodulated,m3_speed_rms_baseband,m3_speed_rms_fm_demodulated,m3_speed_mean_baseband,m3_speed_mean_fm_demodulated,m3_speed_variance_baseband,m3_speed_variance_fm_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_fm_demodulated,m4_speed_psd_peak_baseband,m4_speed_psd_peak_fm_demodulated,m4_speed_psd_mean_energy_baseband,m4_speed_psd_mean_energy_fm_demodulated,m4_speed_psd_peak_freq_baseband,m4_speed_psd_peak_freq_fm_demodulated,m4_speed_rms_baseband,m4_speed_rms_fm_demodulated,m4_speed_mean_baseband,m4_speed_mean_fm_demodulated,m4_speed_variance_baseband,m4_speed_variance_fm_demodulated,m4_speed_fft_peak_baseband,m4_speed_fft_peak_fm_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_fm_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_fm_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_fm_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_fm_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_fm_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_fm_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_fm_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_fm_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_fm_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_fm_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_fm_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_fm_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_fm_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_fm_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_fm_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_fm_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_fm_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_fm_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_fm_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_fm_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_fm_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_fm_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_fm_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_fm_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_fm_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_fm_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_fm_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:08.000000000,2023-02-06T14:09:06.000000000,0.002341,0.638301,0.002612,1.0,1.0,0.0,0.0,0.620407,0.0,0.0,0.613478,1.0,0.0,0.0,0.000433,0.940494,0.000523,0.802965,1.0,1.0,0.0,0.686799,0.0,0.36843,0.237037,0.419931,0.0,0.36843,0.000431,0.900063,0.000402,0.229419,1.0,1.0,0.0,0.527937,0.0,0.017133,0.285826,0.730035,0.0,0.017133,0.001299,0.405339,0.001058,0.222674,1.0,1.0,0.0,0.0,0.0,0.422143,0.613478,1.0,0.0,0.422143,0.0,0.255672,0.0,0.853723,0.0,0.530327,0.0,0.0,0.000839,0.0,0.0,0.767274,0.0,0.0,0.0,0.349686,0.0,0.35676,0.0,0.45202,0.0,0.445295,6e-06,0.057165,0.0,0.071537,0.0,0.056543,0.0,0.816837,0.0,0.710776,0.0,0.833411,0.0,0.383423,0.001074,0.205743,0.0,0.0,0.0,0.163351,0.0,0.584834,0.0,0.587783,0.0,0.729079,0.0,0.333369,7e-06,0.017704,0.0,0.370224,0.0,0.016999,0.0,1.0,0.0,1.0,0.0,0.275656,0.0,0.011908,0.078852,0.062181,0.0,0.396735,0.0,0.356328,1
1,2023-02-06T14:08:38.000000000,2023-02-06T14:09:36.000000000,1.0,0.322824,1.0,0.481459,0.333333,0.895907,0.639084,0.367547,0.572918,0.477258,1.0,0.832472,0.572918,0.477258,0.184727,0.181145,0.200321,0.198734,0.333333,0.560257,0.407127,0.25812,0.465713,0.157266,0.386668,0.194291,0.465713,0.157266,0.184131,0.698167,0.154015,0.130997,0.333333,0.706473,0.494359,0.259995,0.538635,0.369634,0.465962,0.24891,0.538635,0.369634,0.554979,0.137373,0.405163,0.085883,0.333333,0.823428,0.542639,0.386657,0.534599,0.229859,1.0,0.560472,0.534599,0.229859,0.0,0.352226,0.0,0.733754,0.0,0.39536,0.000348,0.131118,0.000689,0.115827,0.0,0.709256,0.00015,0.110293,0.0,0.052701,0.0,0.259093,0.0,0.338177,3.5e-05,0.0,0.0,0.0,0.0,0.078526,6e-06,0.0,0.0,0.0,0.0,0.028319,0.0,0.560993,0.000384,0.0,0.000978,0.108659,1e-06,0.246176,9.6e-05,0.084241,0.0,0.076065,0.0,0.066754,0.0,0.538466,3.6e-05,0.0,0.0,0.0,0.0,0.130142,7e-06,0.0,0.0,0.137627,0.0,0.139023,0.0,0.510121,1e-06,0.0,0.078851,0.06524,0.0,0.095848,1e-06,0.207149,1
2,2023-02-06T14:09:08.000000000,2023-02-06T14:10:06.000000000,0.000334,0.0,0.000363,0.0,1.0,0.773795,0.930026,0.230356,0.954665,0.966138,0.000475,0.187992,0.954665,0.966138,0.000129,0.492629,0.000138,0.508315,1.0,0.331058,0.594475,0.205494,0.777717,0.149806,0.001078,0.459265,0.777717,0.149806,6.1e-05,0.77799,6.1e-05,0.28831,1.0,0.670963,0.718033,0.203504,0.896236,0.759247,0.00048,0.26262,0.896236,0.759247,0.000185,0.135772,0.000147,0.167415,1.0,0.774471,0.789664,0.782803,0.890804,0.149815,0.000477,0.0,0.890804,0.149815,4e-06,0.688963,4e-06,0.86126,1.0,0.260314,0.003857,0.398756,0.0,0.270582,6.6e-05,0.85298,0.001496,0.264519,1e-06,0.195676,1e-06,0.369616,1.0,0.200203,0.001183,0.275978,9e-06,0.136631,5e-06,0.264675,0.000477,0.13667,9e-06,0.500274,1.1e-05,0.537575,1.0,0.271518,0.008803,0.292053,0.0,0.26495,0.000317,0.484696,0.00349,0.240489,0.0,0.364499,1e-06,0.357256,1.0,0.319168,0.001396,0.232318,2.2e-05,0.118388,6e-06,0.44451,0.000558,0.118721,0.0,0.401302,0.0,0.401723,1.0,0.511935,1e-05,0.070742,0.078841,0.121185,0.0,0.192299,1.2e-05,0.288972,0
3,2023-02-06T14:09:38.000000000,2023-02-06T14:10:36.000000000,0.0,0.328576,0.0,0.326898,0.333333,0.666722,0.929989,0.209455,0.954696,0.792146,1e-06,0.564828,0.954696,0.792146,0.229378,0.650729,0.256962,0.66078,0.333333,0.165535,0.52203,0.4111,0.617355,0.33257,0.313098,0.66387,0.617355,0.33257,0.005461,0.987651,0.008572,0.686469,1.0,0.640189,0.815483,0.421827,0.905604,0.697874,0.328795,0.660857,0.905604,0.697874,5.7e-05,0.279055,4.8e-05,0.288992,1.0,0.601367,0.788255,0.826018,0.889549,0.180274,0.001434,0.360882,0.889549,0.180274,0.416962,0.836252,0.312736,0.930726,0.333333,0.322596,0.563921,0.434401,0.359567,0.26658,0.879208,0.989892,0.359029,0.258709,0.000444,0.339878,0.000806,0.559932,0.0,0.186487,0.052906,0.593627,0.016879,0.45575,0.008836,0.615529,0.017696,0.455435,0.034064,0.765361,0.049279,0.766543,0.333333,0.567124,0.463052,0.25477,0.236586,0.316105,0.659848,0.332311,0.235766,0.292565,0.000445,0.576784,0.000877,0.571533,0.0,0.278207,0.054137,0.543797,0.01818,0.418346,0.007668,0.722739,0.019448,0.418188,0.0,0.454542,0.0,0.455208,0.333333,0.366723,0.002345,0.158353,0.082812,0.212237,4e-06,0.253769,0.0043,0.364692,0
4,2023-02-06T14:10:08.000000000,2023-02-06T14:11:06.000000000,0.0,0.210111,0.0,0.211431,0.0,0.711712,0.929852,0.229765,0.954595,0.569475,0.0,0.520019,0.954595,0.569475,0.430789,0.342315,0.507858,0.327575,0.333333,0.251626,0.756735,0.378078,0.772852,0.258144,0.660726,0.636977,0.772852,0.258144,0.38158,0.970483,0.531474,0.698373,0.666667,0.569243,0.895267,0.467719,0.89802,0.344468,0.680467,0.744796,0.89802,0.344468,0.100581,0.430431,0.108505,0.518423,0.333333,0.415698,0.726206,0.664335,0.8168,0.250906,0.184092,0.543702,0.8168,0.250906,0.976296,0.823366,0.786442,0.910783,0.333333,0.332302,0.592453,0.532786,0.425751,0.478694,0.791068,0.997259,0.425269,0.470933,0.178882,0.401824,0.216734,0.704647,0.333333,0.274047,0.539248,0.638078,0.318318,0.574501,0.670615,0.619902,0.318313,0.57411,1.0,0.62589,1.0,0.574497,0.333333,0.788146,0.463715,0.248202,0.237134,0.350122,0.661325,0.683195,0.236314,0.334773,0.08234,0.579608,0.116825,0.57295,0.333333,0.450094,0.542488,0.610624,0.312422,0.551088,0.596221,0.656501,0.312418,0.55083,1e-06,0.233853,1e-06,0.235024,0.333333,0.459058,0.006894,0.163907,0.095561,0.299993,1.4e-05,0.190993,0.018139,0.347694,0
5,2023-02-06T14:10:38.000000000,2023-02-06T14:11:36.000000000,0.0,0.257284,0.0,0.258294,0.0,0.676467,0.929852,0.210699,0.954595,0.641199,0.0,0.456663,0.954595,0.641199,0.102271,0.591887,0.121592,0.521232,0.333333,0.200598,0.728864,0.336353,0.745709,0.087947,0.646607,0.730077,0.745709,0.087947,0.981612,0.863904,0.900549,0.489812,0.666667,0.520569,0.848788,0.322308,0.858251,0.147608,0.64813,0.548024,0.858251,0.147608,0.30402,0.465882,0.285638,0.560327,0.333333,0.451667,0.958282,0.616197,0.966265,0.23697,0.588954,0.471511,0.966265,0.23697,0.051955,0.787186,0.064506,0.947864,0.333333,0.274148,0.298132,0.716476,0.160233,0.731482,0.29492,0.818551,0.159528,0.725272,0.669237,0.39499,0.599395,0.675632,0.333333,0.295218,0.71948,0.490186,0.553155,0.431916,0.760784,0.418738,0.553152,0.431432,0.001056,0.818065,0.001229,0.748771,1.0,0.602416,0.03327,0.60159,0.001876,0.467915,0.004595,1.0,0.012956,0.452335,0.950732,0.520426,0.896239,0.517287,0.333333,0.47446,0.708722,0.456741,0.509657,0.422015,0.766431,0.45527,0.509653,0.421627,1e-06,0.256302,1e-06,0.253839,0.333333,0.487166,0.012637,0.098037,0.113163,0.245347,1.4e-05,0.094956,0.037248,0.361424,0
6,2023-02-06T14:11:08.000000000,2023-02-06T14:12:06.000000000,0.0,0.24857,0.0,0.268701,0.0,0.715761,0.929852,0.200424,0.954595,0.737575,0.0,0.504334,0.954595,0.737575,0.420045,0.971725,0.419324,0.931659,0.333333,0.181063,0.459685,0.551556,0.558228,0.196086,0.29145,0.967071,0.558228,0.196086,0.261946,0.775706,0.321549,0.241284,0.666667,0.55537,0.81211,0.20858,0.860366,0.282639,0.495092,0.409688,0.860366,0.282639,0.409244,0.336055,0.48074,0.360767,0.666667,0.573107,0.976247,0.652436,1.0,0.121381,0.414372,0.499868,1.0,0.121381,0.546866,0.833762,0.478225,0.983433,0.333333,0.293094,0.744679,0.717697,0.593604,0.674966,0.94189,0.831986,0.593263,0.671611,0.71114,0.243444,0.637778,0.457862,0.333333,0.255762,0.491545,0.207386,0.323162,0.191048,0.487433,0.073698,0.323157,0.190396,0.548732,1.0,0.523596,1.0,0.333333,0.41974,0.681258,0.689923,0.473348,0.4702,0.999773,0.74584,0.472782,0.452699,0.551108,0.300715,0.556565,0.301887,0.333333,0.396199,0.473308,0.126901,0.293111,0.201708,0.422542,0.113879,0.293106,0.200964,8e-06,0.145014,7e-06,0.143623,0.333333,0.348438,0.013781,0.101833,0.111385,0.207403,6.4e-05,0.080902,0.035318,0.332711,0
7,2023-02-06T14:11:38.000000000,2023-02-06T14:12:36.000000000,0.0,0.181319,0.0,0.217969,0.0,0.704033,0.929852,0.254778,0.954595,0.697779,0.0,0.366991,0.954595,0.697779,0.269872,1.0,0.335475,1.0,0.333333,0.295127,0.715848,0.698225,0.713131,0.455898,0.712396,0.988872,0.713131,0.455898,0.060561,0.855144,0.098754,0.491451,0.666667,0.604262,0.76192,0.323247,0.881559,0.596932,0.220355,0.53081,0.881559,0.596932,0.022147,0.324355,0.022711,0.31491,0.333333,0.602087,0.722066,0.68048,0.824435,0.115293,0.094267,0.509013,0.824435,0.115293,0.463267,0.923893,0.34811,0.979376,0.333333,0.264652,0.831126,0.600431,0.764663,0.483021,0.494543,0.896591,0.764465,0.478342,0.005776,0.196805,0.007693,0.434446,0.333333,0.243641,0.13895,0.351252,0.116202,0.302289,0.021172,0.374777,0.116196,0.301813,0.566278,0.851279,0.547123,0.921666,0.333333,0.448633,0.706945,0.427742,0.532107,0.400872,0.902608,0.610908,0.531604,0.382895,0.005614,0.313836,0.00754,0.307219,0.333333,0.370194,0.145677,0.303025,0.12522,0.2988,0.0197,0.429659,0.125214,0.298267,2.8e-05,0.232652,1.9e-05,0.231352,0.333333,0.32717,0.008569,0.13091,0.091695,0.25354,5.8e-05,0.12479,0.013943,0.362516,0
8,2023-02-06T14:12:08.000000000,2023-02-06T14:13:06.000000000,0.0,0.257973,0.0,0.320468,0.0,0.693877,0.929852,0.292988,0.954595,0.707886,0.0,0.468027,0.954595,0.707886,1.0,0.661874,1.0,0.66553,0.333333,0.24638,1.0,0.62542,0.962421,0.500297,1.0,0.590118,0.962421,0.500297,0.25023,0.965773,0.272005,0.722534,0.666667,0.561638,0.750485,0.52802,0.859924,0.790806,0.262592,0.705783,0.859924,0.790806,0.25191,0.463468,0.238482,0.497318,0.666667,0.5689,0.746554,0.774003,0.817787,0.280845,0.314045,0.438966,0.817787,0.280845,0.82818,0.982087,0.864756,0.942804,0.333333,0.234743,0.666133,0.467186,0.550934,0.367242,0.653799,0.987671,0.550557,0.360298,0.046751,0.389703,0.061622,0.630998,0.333333,0.264243,0.230142,0.675397,0.122467,0.487685,0.134072,0.721162,0.122462,0.487506,0.73827,0.468875,0.880483,0.517752,0.333333,0.263592,0.447677,0.264954,0.230789,0.396504,0.612905,0.702978,0.229962,0.375704,0.03475,0.56967,0.041017,0.563842,0.333333,0.40337,0.163732,0.636867,0.088703,0.439835,0.057073,0.773607,0.088697,0.439766,1e-06,0.194527,0.0,0.192112,0.333333,0.408544,0.004692,0.076785,0.089521,0.187039,9e-06,0.066464,0.011583,0.339432,0
9,2023-02-06T14:12:38.000000000,2023-02-06T14:13:36.000000000,0.0,0.14879,0.0,0.208291,0.0,0.723591,0.929852,0.258292,0.954595,0.73203,0.0,0.370969,0.954595,0.73203,0.306623,0.446507,0.377489,0.431137,0.333333,0.185286,0.889841,0.282751,0.997991,0.217126,0.287973,0.39366,0.997991,0.217126,0.509691,0.975587,0.514447,0.628824,0.666667,0.51731,0.961575,0.535851,0.91176,0.656487,0.906275,0.722394,0.91176,0.656487,0.21879,0.480515,0.261951,0.532478,0.333333,0.569052,0.87797,0.893489,0.916947,0.374268,0.415268,0.456304,0.916947,0.374268,0.693968,0.763325,0.515333,0.89976,0.333333,0.346418,0.501664,0.563517,0.289364,0.434612,0.782383,0.920912,0.288768,0.426645,0.591542,0.405307,0.593711,0.629539,0.333333,0.265369,0.728625,0.757405,0.572396,0.467639,0.732571,0.645982,0.572393,0.467483,0.267164,0.462073,0.283822,0.386074,0.333333,0.264001,0.405466,0.472998,0.174876,0.433978,0.557194,0.826122,0.173989,0.414023,0.651598,0.556365,0.637689,0.553217,0.333333,0.431741,0.727973,0.715608,0.553623,0.419279,0.721157,0.719857,0.55362,0.41916,1e-06,0.207127,1e-06,0.206901,0.333333,0.45601,0.009936,0.112741,0.105153,0.171939,1.4e-05,0.132573,0.028553,0.322949,0
