segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_fm_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_fm_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_fm_demodulated,m3_speed_rms_baseband,m3_speed_rms_fm_demodulated,m3_speed_mean_baseband,m3_speed_mean_fm_demodulated,m3_speed_variance_baseband,m3_speed_variance_fm_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_fm_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_fm_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_fm_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_fm_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_fm_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_fm_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_fm_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:08.000000000,2023-02-06T14:09:06.000000000,0.002341,1.0,0.002053,1.0,1.0,0.816246,0.0,0.618394,0.0,0.095079,0.613478,1.0,0.0,0.095079,0.0,0.774782,0.0,0.856516,0.0,0.548406,0.0,0.353629,0.03199,0.575927,0.0,0.092363,0.0,0.454948,0.002341,0.650338,0.002612,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.613478,1.0,0.0,0.0,0.0,0.499151,0.0,0.654337,0.0,0.54727,0.0,0.289807,0.003327,0.654989,0.0,0.178591,0.0,0.686334,0.0,1.0,0.0,1.0,0.0,0.261434,0.0,0.119014,0.006772,0.328035,0.0,0.687618,0.0,0.503829,1
1,2023-02-06T14:08:38.000000000,2023-02-06T14:09:36.000000000,1.0,0.502844,0.785987,0.408229,0.333333,0.583044,0.601486,0.772629,0.555792,0.080339,1.0,0.624701,0.555792,0.080339,0.0,0.570202,0.0,0.701763,0.0,0.132969,0.0,0.239473,0.03199,0.170019,0.0,0.109766,0.0,0.306676,1.0,0.328564,1.0,0.511108,0.333333,0.856687,0.68181,0.504595,0.597093,0.507192,1.0,0.769831,0.597093,0.507192,0.0,0.011862,0.0,0.0,0.0,0.0,0.0,0.048242,0.003327,0.0,0.0,0.122632,0.0,0.0,0.0,0.03642,0.0,0.070823,0.0,0.0,0.0,0.109257,0.006772,0.158414,0.0,0.045778,0.0,0.078732,1
2,2023-02-06T14:09:08.000000000,2023-02-06T14:10:06.000000000,0.000334,0.0,0.000285,0.0,1.0,0.391999,0.875311,0.970323,0.926128,0.176434,0.000475,0.0,0.926128,0.176434,0.0,0.640035,0.0,0.750906,0.0,0.26263,0.0,0.311417,0.03199,0.290012,0.0,0.16605,0.0,0.378916,0.000334,0.0,0.000363,0.0,1.0,0.75526,0.992203,1.0,0.994948,0.994535,0.000475,0.0,0.994948,0.994535,0.0,0.171502,0.0,0.259577,0.0,0.164009,0.0,0.129913,0.003327,0.217712,0.0,0.174744,0.0,0.246057,0.0,0.369901,0.0,0.401115,0.0,0.082454,0.0,0.170417,0.006772,0.265585,0.0,0.260718,0.0,0.276925,1
3,2023-02-06T14:09:38.000000000,2023-02-06T14:10:36.000000000,0.0,0.29209,0.0,0.243656,0.333333,0.181536,0.875276,0.900846,0.926158,0.11127,1e-06,0.3066,0.926158,0.11127,0.0,0.695086,0.0,0.787929,0.0,0.255934,0.0,0.379856,0.03199,0.36424,0.0,0.234199,0.0,0.442869,0.0,0.319393,0.0,0.284302,0.333333,0.655595,0.992163,0.884996,0.994981,0.876404,1e-06,0.441927,0.994981,0.876404,0.0,0.262936,0.0,0.308487,0.0,0.224746,0.0,0.186811,0.003327,0.288656,0.0,0.234771,0.0,0.30562,0.0,0.413147,0.0,0.435261,0.0,0.140537,0.0,0.233943,0.006772,0.29589,0.0,0.304998,0.0,0.291644,1
4,2023-02-06T14:10:08.000000000,2023-02-06T14:11:06.000000000,0.0,0.188721,0.0,0.150483,0.0,0.129524,0.875147,0.79535,0.92606,0.063994,0.0,0.263004,0.92606,0.063994,0.0,0.693762,0.0,0.784694,0.0,0.181713,0.0,0.34765,0.03199,0.168203,0.0,0.206648,0.0,0.406465,0.0,0.198312,0.0,0.186273,0.0,0.712982,0.992017,0.589197,0.994875,0.623287,0.0,0.37087,0.994875,0.623287,0.0,0.108942,0.0,0.073998,0.0,0.049565,0.0,0.137048,0.003327,0.070579,0.0,0.249852,0.0,0.076041,0.0,0.171007,0.0,0.193789,0.0,0.071098,0.0,0.24406,0.006772,0.188974,0.0,0.125433,0.0,0.108007,1
5,2023-02-06T14:10:38.000000000,2023-02-06T14:11:36.000000000,0.0,0.219883,0.0,0.147099,0.0,0.188116,0.875147,0.833138,0.92606,0.112136,0.0,0.218436,0.92606,0.112136,0.0,0.669795,0.0,0.769991,0.0,0.122963,0.0,0.357931,0.03199,0.239719,0.0,0.169423,0.0,0.426242,0.0,0.238508,0.0,0.216457,0.0,0.668766,0.992017,0.502374,0.994875,0.581116,0.0,0.29332,0.994875,0.581116,0.0,0.21013,0.0,0.204623,0.0,0.226057,0.0,0.115118,0.003327,0.196866,0.0,0.202866,0.0,0.212363,0.0,0.202577,0.0,0.213919,0.0,0.148563,0.0,0.169409,0.006772,0.120096,0.0,0.185747,0.0,0.100412,1
6,2023-02-06T14:11:08.000000000,2023-02-06T14:12:06.000000000,0.0,0.22181,0.0,0.099017,0.0,0.211178,0.875147,0.881171,0.92606,0.128318,0.0,0.325219,0.92606,0.128318,0.0,0.683849,0.0,0.7774,0.0,0.14138,0.0,0.307888,0.03199,0.128282,0.0,0.123727,0.0,0.375322,0.0,0.228503,0.0,0.218229,0.0,0.734544,0.992017,0.627454,0.994875,0.681183,0.0,0.403014,0.994875,0.681183,0.0,0.087253,0.0,0.056311,0.0,0.050402,0.0,0.093451,0.003327,0.048509,0.0,0.237116,0.0,0.0565,0.0,0.09291,0.0,0.109552,0.0,0.077212,0.0,0.169735,0.006772,0.065184,0.0,0.073053,0.0,0.00718,1
7,2023-02-06T14:11:38.000000000,2023-02-06T14:12:36.000000000,0.0,0.187068,0.0,0.121465,0.0,0.205259,0.875147,0.861913,0.92606,0.094123,0.0,0.190985,0.92606,0.094123,0.0,0.696993,0.0,0.786247,0.0,0.183491,0.0,0.337765,0.03199,0.143874,0.0,0.151359,0.0,0.405607,0.0,0.168923,0.0,0.188753,0.0,0.72694,0.992017,0.766347,0.994875,0.763147,0.0,0.221905,0.994875,0.763147,0.0,0.176139,0.0,0.145501,0.0,0.237754,0.0,0.140049,0.003327,0.139953,0.0,0.269962,0.0,0.152528,0.0,0.167444,0.0,0.182293,0.0,0.138802,0.0,0.176799,0.006772,0.095546,0.0,0.134256,0.0,0.056421,1
8,2023-02-06T14:12:08.000000000,2023-02-06T14:13:06.000000000,0.0,0.298917,0.0,0.169563,0.0,0.187943,0.875147,0.867652,0.92606,0.11687,0.0,0.335122,0.92606,0.11687,0.0,0.643477,0.0,0.750208,0.0,0.125474,0.0,0.343307,0.03199,0.23883,0.0,0.158655,0.0,0.411478,0.0,0.25155,0.0,0.302102,0.0,0.671948,0.992017,0.777257,0.994875,0.784504,0.0,0.384272,0.994875,0.784504,0.0,0.189715,0.0,0.173644,0.0,0.708574,0.0,0.14254,0.003327,0.185473,0.0,0.240691,0.0,0.194272,0.0,0.1095,0.0,0.124306,0.0,0.164453,0.0,0.147751,0.006772,0.085175,0.0,0.136757,0.0,0.051304,1
9,2023-02-06T14:12:38.000000000,2023-02-06T14:13:36.000000000,0.0,0.220672,0.0,0.151045,0.0,0.397786,0.875147,0.895188,0.92606,0.148216,0.0,0.281444,0.92606,0.148216,0.0,0.706903,0.0,0.79368,0.0,0.466118,0.0,0.249621,0.03199,0.003904,0.0,0.063417,0.0,0.322423,0.0,0.156415,0.0,0.225329,0.0,0.805486,0.992017,0.706118,0.994875,0.737975,0.0,0.303691,0.994875,0.737975,1e-06,0.254398,1e-06,0.231467,1.0,0.812447,0.003371,0.356242,0.002487,0.195452,2.8e-05,0.470845,0.001592,0.204466,0.0,0.215812,0.0,0.236981,0.0,0.070799,0.0,0.153644,0.006772,0.078643,0.0,0.075832,0.0,0.030403,1
