segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_ask_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_ask_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_ask_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_ask_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_ask_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_ask_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_ask_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_ask_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_ask_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_ask_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_ask_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_ask_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_ask_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_ask_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_ask_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_ask_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_ask_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_ask_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_ask_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_ask_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_ask_recovered,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.001065,0,0,0.001208,0,0,1.0,1,1,0.0,0,1,0.0,0,1,0.610527,1,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.454993,0,0,0.462363,0,0,0.333333,0,0,0.683626,1,1,0.598029,1,1,0.99519,1,1,0.598029,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.000152,0,0,0.000168,0,0,1.0,1,0,0.994845,1,1,0.996507,1,1,0.000473,0,1,0.996507,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0,0,0.0,0,0,0.333333,0,1,0.994806,1,1,0.996539,1,1,1e-06,0,0,0.996539,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.994659,1,1,0.996434,1,1,0.0,0,0,0.996434,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001744,0,0,0.0,0,0,0.0,0,0,1
