segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_fm_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_fm_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_fm_demodulated,m3_speed_rms_baseband,m3_speed_rms_fm_demodulated,m3_speed_mean_baseband,m3_speed_mean_fm_demodulated,m3_speed_variance_baseband,m3_speed_variance_fm_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_fm_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_fm_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_fm_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_fm_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_fm_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_fm_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_fm_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_fm_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_fm_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_fm_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_fm_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_fm_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_fm_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_fm_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_fm_demodulated,current_pos_z_psd_peak_baseband,current_pos_z_psd_peak_fm_demodulated,current_pos_z_psd_mean_energy_baseband,current_pos_z_psd_mean_energy_fm_demodulated,current_pos_z_psd_peak_freq_baseband,current_pos_z_psd_peak_freq_fm_demodulated,current_pos_z_rms_baseband,current_pos_z_rms_fm_demodulated,current_pos_z_mean_baseband,current_pos_z_mean_fm_demodulated,current_pos_z_variance_baseband,current_pos_z_variance_fm_demodulated,current_pos_z_fft_peak_baseband,current_pos_z_fft_peak_fm_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_fm_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_fm_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_fm_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_fm_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_fm_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_fm_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_fm_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_fm_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_fm_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_fm_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_fm_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_fm_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_fm_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_fm_demodulated,target_pos_z_psd_peak_baseband,target_pos_z_psd_peak_fm_demodulated,target_pos_z_psd_mean_energy_baseband,target_pos_z_psd_mean_energy_fm_demodulated,target_pos_z_psd_peak_freq_baseband,target_pos_z_psd_peak_freq_fm_demodulated,target_pos_z_rms_baseband,target_pos_z_rms_fm_demodulated,target_pos_z_mean_baseband,target_pos_z_mean_fm_demodulated,target_pos_z_variance_baseband,target_pos_z_variance_fm_demodulated,target_pos_z_fft_peak_baseband,target_pos_z_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.00122,0.594938,0.001098,0.37397,1.0,0.832236,0.0,0.460818,0.0,0.175817,0.608447,1.0,0.0,0.175817,0.000272,0.710201,0.000236,1.0,1.0,0.763614,0.0,0.0,0.0,0.174021,0.327785,1.0,0.0,0.174021,0.000616,0.347994,0.000601,0.778672,1.0,1.0,0.0,0.778379,0.0,0.0,0.403535,0.519165,0.0,0.0,0.0,0.386525,0.0,0.075776,1.0,0.79314,0.0,0.353782,0.001699,0.4065,0.0,0.793347,0.0,0.264916,2.2e-05,1.0,1.8e-05,0.342784,1.0,0.898635,0.009893,0.775348,0.0,0.475801,0.000401,0.558648,0.002447,0.69927,0.0,0.38441,0.0,0.586495,0.666667,0.315022,0.0,0.634966,0.001769,0.515522,0.0,0.068668,0.0,0.470538,0.0,0.0,0.0,0.609951,1.0,0.248234,0.0,0.412241,0.004202,0.099962,0.0,0.360678,0.0,0.0,0.0,0.319631,0.0,0.71235,0.0,0.820326,0.002161,0.204601,0.046183,0.651138,5e-06,0.177113,0.001456,0.458119,0.0,0.561546,0.0,0.42878,1.0,0.450369,0.0,0.150397,0.006783,0.515577,0.0,0.362226,0.0,0.389807,0.0,0.538494,0.0,0.175693,0.333333,0.525623,1.1e-05,0.4451,0.003469,0.213647,1e-06,0.886685,0.0,0.26492,0
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.528325,0.246973,0.426453,0.23264,0.333333,0.615384,0.507135,0.124294,0.501368,0.069637,1.0,0.631068,0.501368,0.069637,0.273653,0.479047,0.234463,0.777767,0.333333,0.577547,0.520398,0.490452,0.440338,0.393115,0.964133,0.711632,0.440338,0.393115,0.276135,0.128043,0.241811,0.524157,0.333333,0.450296,0.446493,0.386349,0.485034,0.13387,0.626933,0.371343,0.485034,0.13387,2.2e-05,0.12955,3.4e-05,0.09448,0.333333,0.333696,0.017309,0.03628,0.009628,0.206055,0.001021,0.131509,0.007927,0.115458,0.137582,0.785306,0.119524,0.611055,0.333333,0.748073,0.707526,0.831335,0.52966,0.733831,0.663757,0.645722,0.525299,0.734368,0.000142,0.0,0.000137,0.030532,0.333333,0.443177,0.066316,0.101281,0.044811,0.062282,0.006529,0.0,0.042962,0.052258,9.2e-05,0.171673,0.000117,0.063565,0.333333,0.275823,0.038757,0.163857,0.021642,0.245519,0.004858,0.038946,0.017357,0.241462,0.000102,0.043686,7.1e-05,0.521651,1.0,0.527696,0.054131,0.398707,0.059075,0.663983,0.003382,0.289588,0.053334,0.480222,0.000196,0.0,0.000136,0.0,0.333333,0.616704,0.084083,0.014812,0.079884,0.240825,0.007666,0.26063,0.073391,0.165474,0.004738,0.419894,0.00466,0.290596,0.333333,0.335382,0.381107,0.321927,0.231945,0.407767,0.254869,0.785072,0.228721,0.395332,0
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.076902,0.0,0.080539,0.3111,0.666667,0.374097,0.599748,0.056699,0.662428,0.310325,0.481154,0.421827,0.662428,0.310325,0.833049,0.163028,0.892429,0.407068,0.666667,0.576388,0.835206,0.910255,0.83426,0.695661,0.784349,0.296323,0.83426,0.695661,0.086958,0.150068,0.092291,0.557917,0.666667,0.39516,0.65943,0.066429,0.796926,0.345241,0.150924,0.139719,0.796926,0.345241,0.001079,0.286933,0.001718,0.305007,0.333333,0.212165,0.161176,0.194208,0.087913,0.417771,0.078482,0.309747,0.086347,0.333006,0.987975,0.458681,0.95915,0.51205,0.666667,0.610147,0.859768,0.600216,0.830048,0.635961,0.778054,0.452791,0.828472,0.567016,0.002254,0.09683,0.004563,0.168421,0.666667,0.475372,0.132412,0.257243,0.145238,0.279179,0.015001,0.056435,0.143584,0.25674,0.004238,0.563472,0.005419,0.430531,0.333333,0.391843,0.24936,0.500122,0.127109,0.684707,0.187654,0.236334,0.123286,0.675534,0.11792,0.118418,0.122035,0.611266,0.333333,0.226984,0.52308,0.47198,0.422122,0.903338,0.288354,0.290705,0.394392,0.791202,0.007241,0.142458,0.00725,0.105181,0.666667,0.370193,0.144154,0.189872,0.203159,0.559371,0.014768,0.321219,0.197536,0.437651,0.295256,0.464357,0.321536,0.302922,0.333333,0.457789,0.649171,0.068325,0.62799,0.341689,0.35686,0.752534,0.626429,0.324833,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.620579,0.44458,0.697917,0.815348,0.333333,0.529734,0.599281,0.391395,0.662058,0.678098,0.480845,0.391182,0.662058,0.678098,0.137408,0.2422,0.136291,0.097569,0.666667,0.607623,0.776336,0.762149,0.874796,0.703562,0.261748,0.063673,0.874796,0.703562,0.131854,0.239559,0.171058,0.644579,0.333333,0.779787,0.692158,0.224243,0.831979,0.536557,0.120322,0.331667,0.831979,0.536557,0.129279,0.268957,0.140707,0.34519,0.333333,0.462153,0.365231,0.330493,0.312291,0.596388,0.156752,0.388455,0.311111,0.515306,0.283541,0.18858,0.31963,0.128041,0.666667,0.412884,0.496106,0.346209,0.414268,0.204477,0.305201,0.13573,0.408836,0.212326,0.019931,0.141096,0.023355,0.1938,0.333333,0.565316,0.264017,0.447242,0.351567,0.401576,0.025806,0.114145,0.350312,0.3703,0.509413,0.760169,0.599173,0.61943,0.333333,0.633053,0.762974,0.659573,0.619574,0.907902,0.807023,0.508345,0.617908,0.855612,0.18803,0.153445,0.181282,0.658028,0.666667,0.392766,0.584413,0.471404,0.840872,0.976642,0.259986,0.215364,0.833236,0.776478,0.030671,0.193577,0.024933,0.154697,0.333333,0.361485,0.316717,0.387901,0.543704,0.597938,0.036624,0.375461,0.540484,0.475455,0.352078,0.480207,0.322752,0.259935,0.333333,0.55881,0.525553,0.080843,0.395972,0.094272,0.396247,0.778923,0.393437,0.08914,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.000562,0.354402,0.000646,0.773403,1.0,0.70653,0.847718,0.547666,0.899625,0.847268,0.260129,0.256252,0.899625,0.847268,0.000258,0.268431,0.000261,0.289987,1.0,0.74115,0.686637,0.394665,0.836348,0.45125,0.027595,0.168989,0.836348,0.45125,0.000279,0.163228,0.000253,0.555047,1.0,0.967675,0.707645,0.491456,0.866386,0.543176,0.001351,0.300405,0.866386,0.543176,4e-06,0.294289,7e-06,0.402929,1.0,0.605223,0.460022,0.205,0.461649,0.524288,0.00198,0.212601,0.460725,0.463468,0.000115,0.310617,9.6e-05,0.392374,1.0,0.666721,0.134973,0.319807,0.209073,0.097214,0.002538,0.200785,0.201738,0.133495,3.3e-05,0.070073,3.9e-05,0.078226,1.0,0.750854,0.322936,0.199635,0.467778,0.218479,0.01021,0.113356,0.466748,0.206759,0.001765,0.708066,0.002021,0.433391,1.0,0.694988,0.980295,0.429581,0.956905,0.579527,0.205257,0.478909,0.956716,0.53361,0.000263,0.089376,0.000203,0.605629,1.0,0.662472,0.351971,0.314242,0.816214,0.73543,0.014348,0.247946,0.807395,0.435215,6.1e-05,0.073433,5.6e-05,0.069015,1.0,0.785225,0.399484,0.237128,0.77965,0.311686,0.011453,0.403575,0.778095,0.245486,0.000684,0.469244,0.000672,0.337013,1.0,0.329328,0.063934,0.046649,0.017312,0.295471,0.009515,0.740568,0.028953,0.266871,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.644572,0.126323,0.75465,0.346141,0.333333,0.26396,0.949314,0.344057,0.963931,0.497022,0.478055,0.35174,0.963931,0.497022,0.021972,0.219384,0.028392,0.23756,0.333333,0.75116,0.685146,0.385169,0.834835,0.226435,0.028494,0.05311,0.834835,0.226435,0.0,0.223345,0.0,0.645757,1.0,0.788496,0.707377,0.457727,0.86638,0.336861,0.0,0.301899,0.86638,0.336861,0.202698,0.162091,0.204898,0.299845,0.333333,0.179649,0.325393,0.110493,0.240394,0.415382,0.207038,0.310369,0.239089,0.341288,0.003049,0.287482,0.00247,0.337711,0.333333,0.808514,0.087538,0.295468,0.09973,0.175427,0.00781,0.198663,0.091381,0.194771,0.016493,0.126158,0.018081,0.100516,0.333333,0.965281,0.218528,0.140474,0.21701,0.097192,0.048882,0.092929,0.215494,0.095908,0.640737,0.441401,0.752677,0.245866,0.333333,0.781264,0.66324,0.088728,0.444131,0.239366,0.979247,0.255663,0.441697,0.224985,0.009944,0.128511,0.006908,0.64288,0.333333,0.801158,0.230342,0.142617,0.384713,0.516033,0.03673,0.135759,0.355188,0.053993,0.021484,0.163372,0.016717,0.1463,0.333333,0.972512,0.270221,0.072708,0.363685,0.05633,0.054484,0.374975,0.359194,0.048648,0.032284,0.501562,0.047921,0.297531,0.333333,0.042107,0.10977,0.006982,0.052817,0.232439,0.024628,0.742856,0.04884,0.212266,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.042892,0.332561,0.038927,0.484818,0.0,0.0,0.845855,0.113092,0.89816,0.181833,0.259177,0.63511,0.89816,0.181833,0.000246,0.161187,0.00023,0.104527,1.0,0.681308,0.639488,0.530397,0.799206,0.179845,0.001013,0.123941,0.799206,0.179845,0.0,0.192525,0.0,0.613687,1.0,0.636737,0.707834,0.203084,0.86678,0.174244,2.1e-05,0.309395,0.86678,0.174244,0.002363,0.172058,0.002875,0.30895,0.0,0.274833,0.044616,0.146527,0.012594,0.382755,0.007958,0.306266,0.010999,0.293279,2e-06,0.161761,2e-06,0.103148,1.0,0.695444,0.000405,0.312893,0.010439,0.01717,6e-06,0.102391,0.001262,0.058476,2.3e-05,0.089194,2.7e-05,0.060881,1.0,0.874979,0.007361,0.211813,0.0,0.080737,9.9e-05,0.120529,0.004262,0.074218,0.000877,0.441995,0.001105,0.434332,1.0,1.0,0.022289,0.318096,0.00052,0.301499,0.001973,0.21626,0.008729,0.263409,1e-05,0.086678,6e-06,0.596371,1.0,0.643654,0.005043,0.13335,0.045772,0.576952,3e-05,0.103023,0.005082,0.228044,3e-05,0.091555,2.5e-05,0.093853,1.0,0.78699,0.008969,0.123226,0.004162,0.213739,0.00011,0.440553,0.007597,0.157528,0.003472,0.470109,0.003936,0.268189,0.0,0.32467,0.092222,0.078923,0.035398,0.070215,0.018579,0.745953,0.031349,0.064417,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.109324,0.432382,0.101857,0.81319,0.333333,0.461098,0.591309,0.144108,0.631271,0.248102,0.659139,0.645165,0.631271,0.248102,0.0,0.075748,0.0,0.197204,1.0,0.613426,0.642491,0.544238,0.802094,0.336262,2e-06,0.060453,0.802094,0.336262,0.000338,0.224567,0.000322,0.612927,1.0,0.615672,0.671123,0.152829,0.828453,0.26464,0.033786,0.267142,0.828453,0.26464,0.00349,0.429757,0.005165,0.547717,0.333333,0.441236,0.195484,0.21463,0.099664,0.477689,0.121033,0.345474,0.098118,0.407683,0.0,0.206301,0.0,0.214784,1.0,0.478082,0.009601,0.308397,0.015948,0.112886,0.000245,0.094608,0.006822,0.138158,2.8e-05,0.191232,2.9e-05,0.205574,1.0,0.464074,0.115641,0.274086,0.057665,0.257717,0.0219,0.219785,0.055841,0.240608,0.000877,0.523602,0.001002,0.376171,1.0,0.864851,0.309829,0.573611,0.105426,0.564399,0.341615,0.315307,0.101509,0.54044,2e-06,0.109085,1e-06,0.622264,1.0,0.335623,0.033671,0.122945,0.067085,0.624068,0.001224,0.19233,0.022471,0.253412,2.7e-05,0.230798,2.1e-05,0.21724,1.0,0.403754,0.109584,0.192474,0.066786,0.399701,0.014844,0.540978,0.060528,0.307459,0.001137,0.499043,0.001315,0.340536,0.333333,0.336976,0.170191,0.074457,0.099495,0.213796,0.053291,0.736235,0.095714,0.199813,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.915012,0.32153,0.879719,0.71596,0.333333,0.497737,0.591667,0.38346,0.631428,0.644197,0.660364,0.376517,0.631428,0.644197,0.0,0.119623,0.0,0.132113,0.0,0.556177,0.642429,0.456671,0.802037,0.558629,1.5e-05,0.090653,0.802037,0.558629,0.030172,0.456166,0.044023,0.748121,0.333333,0.594711,0.676704,0.402813,0.832976,0.545807,0.036217,0.393256,0.832976,0.545807,0.168196,0.240157,0.155167,0.387679,0.333333,0.136743,0.381475,0.365935,0.331629,0.630462,0.155757,0.437678,0.330481,0.560884,0.000479,0.173867,0.000396,0.120825,0.333333,0.229962,0.039651,0.405598,0.057906,0.213643,0.001201,0.137814,0.049169,0.216862,0.021272,0.2933,0.023577,0.409933,0.333333,0.121755,0.294777,0.62904,0.342343,0.5424,0.06254,0.361443,0.341071,0.502559,0.629636,0.317358,0.750328,0.260937,0.333333,0.412129,0.782228,0.633154,0.613544,0.914009,0.954803,0.394507,0.611852,0.892498,0.001622,0.125829,0.001123,0.625773,0.333333,0.25337,0.109321,0.303782,0.236522,0.717737,0.005968,0.141512,0.199886,0.3887,0.028364,0.426568,0.022082,0.389157,0.333333,0.202735,0.355537,0.477105,0.542535,0.661126,0.071828,0.561107,0.539306,0.522805,0.085599,0.486831,0.084901,0.294379,0.333333,0.179514,0.170652,0.243259,0.097375,0.240995,0.054296,0.801904,0.093586,0.221472,0
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.004481,0.257956,0.004732,0.529768,1.0,0.502355,0.83268,0.552618,0.893596,0.889309,0.195848,0.304834,0.893596,0.889309,0.000292,0.057162,0.000259,0.130351,1.0,0.660217,0.622277,0.474795,0.779668,0.53882,0.021445,0.127839,0.779668,0.53882,0.011032,0.460888,0.013568,0.717179,1.0,0.447008,0.685531,0.767492,0.796528,0.684797,0.284211,0.446023,0.796528,0.684797,0.046151,0.400361,0.064331,0.525813,0.333333,0.15484,0.601667,0.404272,0.578879,0.647343,0.124333,0.444195,0.578156,0.574343,0.000345,0.244372,0.000379,0.213121,0.333333,0.260947,0.177065,0.497809,0.140605,0.164923,0.04281,0.143943,0.132635,0.178799,0.000922,0.285224,0.001843,0.509199,0.333333,0.291571,0.582252,0.849635,0.682608,0.659662,0.234568,0.469064,0.681994,0.609822,0.000768,0.275748,0.000979,0.301597,1.0,0.216173,0.976671,0.456334,0.973419,0.813744,0.050525,0.400436,0.973302,0.772577,0.001002,0.105306,0.001118,0.599434,0.333333,0.358191,0.299969,0.480538,0.458726,0.8205,0.067624,0.304493,0.432753,0.624854,0.010634,0.401066,0.007652,0.355025,0.333333,0.230722,0.497847,0.74564,0.795745,0.702849,0.120598,0.646713,0.794304,0.556932,0.004593,0.4992,0.004652,0.328407,0.333333,0.388426,0.371225,0.356375,0.225196,0.39405,0.242465,0.862818,0.221943,0.363515,1
