segment_idx,segment_start,segment_end,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_fm_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_fm_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_fm_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_fm_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_fm_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_fm_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.000463,0.264738,0.000597,0.469107,1.0,0.967304,0.0,0.757312,0.0,0.025804,0.325645,0.46393,0.0,0.025804,0.0,0.845274,0.0,0.319063,0.0,0.212563,0.0,0.176172,0.044168,0.677125,0.0,0.124929,0.0,0.284883,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.197852,0.09498,0.228529,0.069209,0.333333,0.587881,0.456975,0.278784,0.466182,0.200616,0.530818,0.275045,0.466182,0.200616,0.0,0.686887,0.0,0.049103,0.0,0.0,0.0,0.118505,0.044168,0.131617,0.0,0.079814,0.0,0.130263,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,6.6e-05,0.1744,8.3e-05,0.125877,1.0,0.36673,0.665012,0.0,0.776808,0.550386,0.000252,0.075787,0.776808,0.550386,0.0,0.730654,0.0,0.112397,0.0,0.089381,0.0,0.136055,0.044168,0.229248,0.0,0.150049,0.0,0.147678,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0.321618,0.0,0.267546,0.333333,0.157129,0.664985,0.287544,0.776833,0.670507,1e-06,0.276835,0.776833,0.670507,0.0,0.763481,0.0,0.154723,0.0,0.17447,0.0,0.164255,0.044168,0.293557,0.0,0.213362,0.0,0.165546,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0.249242,0.0,0.160009,0.0,0.104006,0.664887,0.394011,0.776751,0.383121,0.0,0.184519,0.776751,0.383121,0.0,0.765114,0.0,0.151257,0.0,0.026691,0.0,0.212306,0.044168,0.190975,0.0,0.219891,0.0,0.203262,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0.28223,0.0,0.263304,0.0,0.221602,0.664887,0.220525,0.776751,0.230793,0.0,0.190204,0.776751,0.230793,0.0,0.748038,0.0,0.131559,0.0,0.186281,0.0,0.066162,0.044168,0.187832,0.0,0.141083,0.0,0.061527,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0.201656,0.0,0.175409,0.0,0.246846,0.664887,0.170617,0.776751,0.456588,0.0,0.153419,0.776751,0.456588,0.0,0.787242,0.0,0.183579,0.0,0.004689,0.0,0.173791,0.044168,0.152233,0.0,0.194163,0.0,0.167006,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0.245472,0.0,0.205038,0.0,0.276092,0.664887,0.295172,0.776751,0.672738,0.0,0.143972,0.776751,0.672738,0.0,0.820559,0.0,0.232119,0.0,0.204025,0.0,0.199257,0.044168,0.211082,0.0,0.238579,0.0,0.197226,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0.296785,0.0,0.263118,0.0,0.473494,0.664887,0.295742,0.776751,0.429158,0.0,0.197366,0.776751,0.429158,0.0,0.77301,0.0,0.164372,0.0,0.739186,0.0,0.16235,0.044168,0.239195,0.0,0.193866,0.0,0.151012,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.0,0.111798,0.0,0.076721,0.0,0.547303,0.664994,0.185631,0.77684,0.0,0.0,0.220843,0.77684,0.0,0.0,0.89785,1e-06,0.348927,0.666667,0.851116,0.012095,0.647199,0.048751,0.512823,0.000159,0.605277,0.012829,0.601096,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,1
