segment_idx,segment_start,segment_end,m2_speed_psd_peak_baseband,m2_speed_psd_peak_original_bits,m2_speed_psd_peak_fsk_recovered,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_original_bits,m2_speed_psd_mean_energy_fsk_recovered,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_original_bits,m2_speed_psd_peak_freq_fsk_recovered,m2_speed_rms_baseband,m2_speed_rms_original_bits,m2_speed_rms_fsk_recovered,m2_speed_mean_baseband,m2_speed_mean_original_bits,m2_speed_mean_fsk_recovered,m2_speed_variance_baseband,m2_speed_variance_original_bits,m2_speed_variance_fsk_recovered,m2_speed_fft_peak_baseband,m2_speed_fft_peak_original_bits,m2_speed_fft_peak_fsk_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_fsk_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_fsk_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_fsk_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_fsk_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_fsk_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_fsk_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_fsk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_fsk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_fsk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_fsk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_fsk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_fsk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_fsk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_fsk_recovered,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.000463,0,0,0.000597,0,0,1.0,1,0,0.0,0,0,0.0,0,0,0.325645,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.197852,0,0,0.228529,0,0,0.333333,0,0,0.456975,0,0,0.466182,0,0,0.530818,1,0,0.466182,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,6.6e-05,0,0,8.3e-05,0,0,1.0,1,0,0.665012,1,0,0.776808,1,0,0.000252,0,0,0.776808,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0,1,0.0,0,1,0.333333,0,1,0.664985,1,1,0.776833,1,1,1e-06,0,1,0.776833,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.044168,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0,1,0.0,0,1,0.0,0,1,0.664887,1,1,0.776751,1,1,0.0,0,1,0.776751,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.044168,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,0,0.776751,1,0,0.0,0,0,0.776751,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,0,0.776751,1,0,0.0,0,0,0.776751,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0,1,0.0,0,1,0.0,0,1,0.664887,1,1,0.776751,1,1,0.0,0,1,0.776751,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.044168,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,0,0.776751,1,0,0.0,0,0,0.776751,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.664994,1,0,0.77684,1,0,0.0,0,0,0.77684,1,0,0.0,0,0,1e-06,0,0,0.666667,1,0,0.012095,0,0,0.048751,0,0,0.000159,0,0,0.012829,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
